OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11168	NA	LOC410369	pairwise	lac	0.370486345113	0.211572838128	0.656060819297
11540	CG3961-RC	LOC412541	pairfail	alc	0.333859652523	0.378961625998	0.538085569059
11746	Dmel\\CG10211	LOC413054	pairfail	alc	0.0947012553453	0.347738731787	0.496095692276
11926	NA	MED18	pairfail	lac	0.324783091595	0.222955302769	0.571468486318
12252	e(r)	e(r)	pairfail	alc	0.160044649666	0.232061076169	0.497652061668
12307	Sec24AB	LOC411410	pairwise	alc	0.601920035011	0.625204312223	0.841510105762
12343	Mrtf	LOC408602	pairfail	lac	0.468735044544	0.459904090659	0.723536889021
12426	FBpp0084307	LOC107964895	pairfail	alc	0.494076538476	0.497608944148	0.705447874947
12552	usp	USP	pairwise	alc	0.529239012822	0.617018285657	0.828770651554
12626	pnut	pnut	pairfail	lac	0.545843092695	0.378466143991	0.779991476634
12835	NA	LOC410045	pairwise	alc	0.273943630106	0.350895049939	0.571824723981
12923	IP3K1	LOC413817	pairwise	alc	0.246600263904	0.631619380754	0.873097015866
13050	kst	LOC413332	pairfail	alc	0.243934294205	0.377930975722	0.752902460957
13290	NA	Acph-1;LOC726703	pairfail	lac	0.53395655148	0.40531853605	0.660499254863
13334	Pdxk	LOC552663	pairfail	lac	0.714106415969	0.521125030422	0.877739505302
13370	Pngl	PNGase	pairwise	lac	0.673247908489	0.497536357042	0.779722356064
13431	CG4159-RB	LOC551700	pairwise	lac	0.518295817371	0.437104397086	0.703293085745
13608	Dmel\\CG8028	LOC408272	pairwise	lac	0.41920251206	0.319326865461	0.699703027801
13656	kirre	LOC410853	pairwise	lac	0.747594407662	0.464238342486	0.807278960595
13750	NA	LOC726244	pairfail	lac	0.405927722749	0.228532665874	0.521313527912
13771	Hsf	Hsf	pairfail	lac	0.413081174191	0.336112805865	0.566757895158
13914	Dmel\\CG5056	LOC724683	pairwise	lac	0.419446322547	0.391567430028	0.793315815333
14077	NA	LOC102655922	pairfail	lca	0.516565031736	0.305811568141	0.416100212638
14246	Dmel\\CG7275	LOC411024	pairwise	lac	0.836891285849	0.531950880671	0.84206962087
14461	FBpp0088375	Rel	pairwise	alc	0.361546601291	0.362353762715	0.512282212516
14479	Inx3	inx3	pairwise	alc	0.516009800925	0.569544604255	0.769589560036
14638	RhoGAP19D	LOC408333	pairfail	alc	0.628158701571	0.644057206823	0.877322791449
14675	NA	LOC409518	pairfail	lac	0.700944289975	0.608639080649	0.849641444224
14698	FBpp0291165	LOC410317	pairwise	lac	0.668258710892	0.599049896097	0.849901515033
14768	Sgf11	Sgf11	pairfail	lac	0.537400963583	0.483516709595	0.717338161632
14816	swm	swm	pairwise	lac	0.533069629185	0.509046389939	0.691601635049
14860	CG4049-RA	LOC413753	pairfail	alc	0.237901143633	0.508402090285	0.727441998117
14945	DOP1_DROME	LOC412544	pairwise	lac	0.4242913857	0.398369880141	0.71558915673
15122	NA	LOC100576221	pairfail	lca	0.800617971099	0.657488377127	0.790291717505
15200	Wnk	LOC725503	pairfail	alc	0.376368270975	0.5264919752	0.743367127992
15460	CG15020-RA	LOC725078	pairwise	alc	0.27479871151	0.391553923998	0.752596434649
15736	Q4QQA2_DROME	fu	pairwise	lca	0.725965385044	0.493218782974	0.653923405675
15776	Tsp29Fb	LOC727570	pairfail	lac	0.548849772468	0.429307303083	0.72570176818
15818	dgt1	LOC552703	pairfail	lac	0.472259910652	0.460020339132	0.826555522117
15826	NA	CycT	pairfail	lac	0.471917269768	0.388928164827	0.813311390815
15865	A0A1B3Q3M2_DROME	LOC724365	pairfail	lac	0.672160193075	0.527350979533	0.75684938356
15903	Dmel\\CG5235	LOC726997	pairfail	lac	0.600784380276	0.561351297458	0.864929161806
15995	Atg12	NA	pairwise	lac	0.792674739647	0.60209214224	0.817757218294
16016	NA	Metrn	pairwise	lac	0.647390580789	0.471810091809	0.792128180752
16098	Dmel\\CG18547	LOC551849	pairfail	lac	0.561801183502	0.464582567228	0.718382719223
16155	NA	LOC725091	pairwise	lac	0.671637101266	0.367289459632	0.882673349591
16263	Fim	LOC408694	pairwise	lac	0.632076629218	0.411720412658	0.8262145425
16353	Dmel\\CG4666	LOC552211	pairfail	alc	0.342211548182	0.361082666258	0.683307342406
16484	NA	LOC100579055	pairfail	alc	0.305686573255	0.64156970657	0.942097968869
16635	Sirt7	Sirt7	pairwise	lac	0.678385296826	0.571329349213	0.779365885836
16636	ckn	LOC726770	pairfail	alc	0.610503862555	0.751633480672	0.889385924497
16759	cutlet	LOC726742	pairwise	alc	0.478736243109	0.480438165842	0.743744591621
16770	NA	LOC100577082	pairwise	lac	0.487767597358	0.447181154575	0.686082606556
17690	Tk	Atk;Tk	pairwise	lac	0.549702831876	0.139779696812	0.684240814352
17731	Dop1R1	dop1	pairfail	alc	0.345797684526	0.653010673477	0.853608821296
17762	ATPsynB	LOC102654955	pairfail	alc	0.258460106195	0.290791613262	0.522836815615
17829	DXO_DROME	NA	pairfail	alc	0.316173063885	0.567286866196	0.793862765021
17877	NA	LOC726020	pairfail	alc	0.405017349942	0.43802214839	0.769880370725
17939	mRpS34	mRpS34	pairwise	lca	0.772629518897	0.52288024081	0.772022539512
17948	NA	100578418	pairwise	alc	0.54746748357	0.588378435265	0.795664677592
17975	NA	LOC410796	pairfail	lac	0.441625151922	0.282052452534	0.531895633456
17997	NA	NA	pairwise	alc	0.28716790124	0.446531690625	0.74212368511
18128	NA	GMCOX5	pairwise	alc	0.202441837744	0.520063468526	0.831476556711
18289	CG13229-RA	F8J1K8_APIME	pairfail	alc	0.0521574453278	0.518941114436	0.710189629974
18346	NA	NA	pairwise	lac	0.476530291733	0.294066162926	0.651767969215
18449	ste24a	LOC551466	pairfail	lac	0.582767775004	0.491904809433	0.648391278755
18470	NA	LOC550998	pairfail	alc	0.555169547202	0.603515974805	0.751392613157
18704	NA	LOC100577106	pairwise	alc	0.425580943843	0.512168528831	0.77656462482
19208	NA	NA	pairwise	alc	0.0	0.478517353108	0.821090428237
