OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10795	A1ZAM0_DROME	LOC552842	pairwise	alc	0.280922936909	0.460757692544	0.838902271425
11164	Gfat2	Gfat2	pairfail	acl	0.408207566476	0.614623493068	0.550069752373
12140	Atu	Atu	pairfail	lac	0.364532026855	0.273414642572	0.610712160715
12451	NTH1	LOC551204	pairwise	lca	0.80080131848	0.452225072336	0.768472035023
12647	ZnT86D	LOC411095	pairfail	lac	0.725952042688	0.636823311929	0.846938993984
12683	TTLL5	LOC414032	pairfail	alc	0.124210069761	0.264615880958	0.596335549272
12716	Myo31DF	Myo1A	pairfail	lca	0.885611619852	0.737848008852	0.8760488596
12756	IntS10	LOC551745	pairfail	lac	0.362703673105	0.293824899287	0.607791900206
13002	Rpb11	Rpb11	pairfail	lac	0.491963413491	0.32328459187	0.686458819307
13045	EG:63B12.7	LOC102654594	pairfail	alc	0.452856419079	0.523452613926	0.670043688654
13083	frtz	frtz	pairfail	lac	0.54779860725	0.450398274105	0.73897816146
13194	KrT95D	LOC725093	pairfail	alc	0.354380416324	0.684064461843	0.828909057335
13557	Csk	Csk	pairwise	alc	0.47370507413	0.525283323231	0.81038593828
13675	Hsc70Cb	Hsc70cb	pairfail	lac	0.649661109803	0.556014184031	0.782413213239
13678	NA	LOC725826	pairfail	lac	0.652778567598	0.587451156329	0.782588307474
13704	CG8270-RA	LOC412629	pairwise	alc	0.348560012864	0.496108930047	0.800040799045
13860	ASPP	LOC102655479	pairfail	lac	0.208109497912	0.088939145593	0.522658904662
13893	NA	LOC411366	pairwise	lac	0.651553693784	0.416961762265	0.809410584434
13904	NA	LOC410239	pairfail	lac	0.703570379555	0.590782016226	0.740279615266
13906	Dmel\\CG7102	LOC412476	pairwise	lac	0.322071145505	0.256367162932	0.646031208087
14031	d	LOC727368	pairfail	alc	0.195563173275	0.268086905924	0.579791787713
14072	CG7388	LOC411670	pairfail	lac	0.700887735552	0.517250616628	0.830882902117
14412	NA	LOC409316	pairfail	lac	0.270207892525	0.268995069406	0.711203419413
14470	NA	LOC102654911	pairfail	alc	0.439560085118	0.533607841766	0.82351735059
14485	sit	LOC551938	pairfail	alc	0.0658216402871	0.384113115249	0.656665567895
14517	NA	bun	pairfail	lca	0.778931280779	0.57653101077	0.742510171575
14626	NA	LOC100576185	pairwise	lac	0.436604175574	0.350040280258	0.772450804818
14636	NA	LOC409919	pairfail	alc	0.580414910292	0.593306204774	0.811867036775
14769	FBpp0302679	LOC411646	pairfail	alc	0.398211998387	0.614433440293	0.810851596325
14950	Tango14	LOC724564	pairfail	lac	0.523974092582	0.512182860654	0.76476098946
15165	Men-b	Mdh	pairwise	alc	0.42304429554	0.481895692697	0.846546946756
15263	klhl10	KLHL10	pairfail	alc	0.317439786326	0.327733893878	0.606132162475
15357	NA	LOC413378	pairwise	alc	0.271601849092	0.478506856774	0.819725447617
15406	MFS9	LOC412220	pairwise	lac	0.658459465039	0.480507543008	0.7565053996
15629	NA	LOC409963	pairfail	lac	0.715077903197	0.693698530378	0.928041579872
15705	DNApol-alpha60	DNApol-alpha60	pairfail	lac	0.6781600645	0.670472852751	0.805965626728
15814	Dmel\\CG3184	LOC100577136	pairwise	lac	0.632518434271	0.361178740012	0.678544658121
16314	AGBE	LOC727168	pairfail	lac	0.674959304094	0.474931874275	0.734054738354
16516	Fatp	LOC552113	pairfail	alc	0.454193945187	0.50812745017	0.739472077627
16836	elgi	LOC411585	pairfail	lac	0.424959458148	0.274264533712	0.690775978757
16915	FBpp0088603	107965179	pairwise	alc	0.315198145551	0.497562783583	0.817004083521
16916	Dmel\\CG12121	LOC725576	pairwise	lca	0.606654657455	0.17183405834	0.523606448794
17029	Dmel\\CG10516	LOC726828	pairfail	alc	0.188204611364	0.415086381403	0.591367542229
17406	vir	vir	pairfail	lac	0.398683307685	0.369670141446	0.50354044761
17583	NA	LOC552588	pairwise	alc	0.527963353122	0.59985865012	0.91555968202
17657	A9YHM3_DROME	Fbxl4	pairfail	lac	0.745579979252	0.474161589816	0.751149248038
17709	SIFaR	A9X454_APIME;SIFR	pairfail	alc	0.308703111678	0.313246666005	0.7329555808
17750	A0A1B2AJA9_DROME	LOC100578580	pairwise	alc	0.292915336348	0.786701646534	0.887475593522
17940	NA	NA	pairfail	alc	0.27159178756	0.304030021031	0.594978749077
18001	anon-WO0118547.337	LOC413244	pairwise	alc	0.622885492771	0.709268297179	0.906562703584
18102	NA	LOC100577582	pairfail	alc	0.233501338233	0.342775510665	0.686067672052
18423	mRRF1	LOC411482	pairfail	lca	0.582708440081	0.281953446563	0.526415076484
18578	NA	NA	pairfail	lca	0.667029657889	0.354619098756	0.59976785698
18912	PMVK_DROME	LOC725018	pairwise	alc	0.230519484799	0.461936475313	0.713878173935
