OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10493	NA	LOC411564	pairwise	lca	0.553690868982	0.294880104626	0.451129294223
11284	Dmel\\CG9667	NA	pairwise	lac	0.435471379902	0.208976112437	0.490450799285
12588	l(3)07882	LOC413720	pairwise	lac	0.494238429882	0.35596234124	0.689407772129
12785	Dmel\\CG5355	LOC411896	pairfail	alc	0.61707512253	0.7014106153	0.806143822314
12875	Ctr1A	LOC551217	pairfail	lac	0.556582268585	0.394140436619	0.59488585274
12937	fz	fz	pairfail	alc	0.434787332458	0.523839593919	0.752869429985
13388	Dmel\\CG7742	LOC551193	pairwise	alc	0.552859859386	0.581182939251	0.78565294426
13396	ADD1	LOC409083	pairwise	alc	0.553020969244	0.611926736967	0.784305125671
13416	CG8605-RA	LOC552312	pairfail	lac	0.331374195002	0.279056791692	0.506684959148
13793	NA	LOC408282	pairwise	lac	0.811041734163	0.796880059199	0.946481118178
13874	TppII	LOC412055	pairfail	alc	0.388273295909	0.407184807045	0.662346376964
13875	Dmel\\CG43295	100576957	pairfail	lac	0.729942709883	0.689612775807	0.863931384112
13896	NA	Toll-10	pairfail	lac	0.967796939466	0.800630360947	0.980429244206
13947	A0A0B4LGH8_DROME	LOC409525	pairfail	lca	0.778126947889	0.308591690284	0.524240339881
14066	NA	LOC552585	pairfail	lac	0.569617366487	0.489725529435	0.76621358851
14125	NA	LOC411172	pairfail	lca	0.918771488913	0.707911426545	0.908902398617
14166	NA	NA	pairfail	lac	0.513989332058	0.512191340384	0.78650545542
14224	1	LOC552014	pairfail	alc	0.308882621543	0.53783752255	0.817788618558
14275	Dmel\\CG5112	LOC727271	pairwise	lac	0.522761900628	0.512524848238	0.776297188104
14504	Prosbeta2	LOC408353	pairwise	alc	0.228946029453	0.433926609986	0.582183045441
14581	B7YZM8_DROME	LOC726019	pairfail	alc	0.355761299453	0.502567747294	0.801271335195
14908	porin	porin	pairwise	alc	0.110080822863	0.31149532396	0.6328326112
15150	NA	LOC107965562	pairfail	acl	0.602857047646	0.721757584592	0.611299288198
15278	CalpA	Calpb	pairfail	lac	0.652225529282	0.494223163288	0.802184822723
15295	lov	LOC412955	pairfail	alc	0.471194417432	0.57856765448	0.869669638066
15570	Dmel\\CG2010	LOC413670	pairfail	alc	0.421011882315	0.458418082269	0.57815199609
15674	NA	LOC724644	pairfail	alc	0.234457408599	0.476647483068	0.720539618428
15820	RpL23	RpL23	pairfail	lac	0.379220110263	0.211408292259	0.551356836829
15930	BEST:LD29228	LOC100576814	pairwise	lca	0.903023645645	0.32740182371	0.713120015931
15973	NA	LOC100578813	pairfail	lac	0.61179673238	0.51661055011	0.898692799938
16061	Sodh-1	LOC408871	pairfail	lac	0.369020341087	0.190623115577	0.48779932039
16359	ND-39	LOC551841	pairwise	lac	0.551043980933	0.286239739265	0.579070780093
16418	NA	LOC727408	pairwise	alc	0.721847809176	0.742645113778	0.850354569824
16751	Ssl1	NA	pairfail	lac	0.597251461996	0.506506028704	0.607886893112
16828	Bsg25D	LOC412745	pairfail	alc	0.320912358125	0.36707815199	0.628211639206
16985	Q7K1L4_DROME	LOC411065	pairfail	alc	0.212835874703	0.493387541449	0.672728784919
17036	ND-13B	Ndufa5	pairfail	lac	0.804976258452	0.629091293991	0.898037996732
17055	NA	LOC724779	pairfail	alc	0.317365039384	0.780998994708	0.858568198135
18094	Nep1	Nep1	pairfail	lac	0.657033713246	0.582314066613	0.68383053376
19070	l(2)k09913	LOC552562	pairfail	alc	0.0198522478273	0.218181212593	0.478852962022
