OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11788	Dmel\\CG15563	LOC725765	pairfail	cla	0.910100480024	0.904887096366	0.790977041791
12180	NA	LOC410454	pairfail	alc	0.363283227636	0.636696584912	0.904306767299
12248	NA	LOC412764	pairfail	alc	0.462499369847	0.689403825504	0.762083396574
12252	e(r)	e(r)	pairfail	lca	0.628387037755	0.170224427684	0.483977448191
12400	NA	LOC102655429	pairfail	lca	0.813709456493	0.601009313737	0.767473636725
12441	mthl5	NA	pairfail	alc	0.456914724072	0.594506353299	0.798170434443
12456	NA	NA	pairfail	lac	0.624215243449	0.539013054141	0.745557803751
12464	mtd	NA	pairfail	lac	0.582870837346	0.493339506838	0.717584062527
12763	Klp54D	LOC410959	pairwise	lac	0.610865892955	0.529073750494	0.803983018895
12905	DENR	LOC552539	pairfail	lac	0.545133935841	0.295723821766	0.735983240978
12910	FBpp0071077	LOC724510	pairfail	alc	0.744261199451	0.761097109047	0.916932173065
12915	NA	LOC409642	pairwise	lac	0.571398071429	0.487434576487	0.730023988008
12984	Q6NLL0_DROME	Taf7	pairfail	alc	0.593532622628	0.665638545945	0.815017647448
13175	Acn	NA	pairwise	lac	0.706218767156	0.529018371375	0.773354148538
13198	Mtl	LOC552138	pairfail	alc	0.138811306917	0.34969101059	0.592548481912
13218	Nup153	LOC727447	pairwise	lac	0.535414965674	0.316264145074	0.630787558805
13380	anon-WO02059370.23	LOC413002	pairfail	alc	0.441517557055	0.739391875908	0.884265858846
13404	NA	LOC725844	pairfail	lac	0.83724562168	0.636327711617	0.884872852292
13508	Hip14	LOC411148	pairfail	lac	0.408276668309	0.403101365787	0.647732213221
13578	NA	LOC409536	pairfail	alc	0.413275974616	0.65884265621	0.829108596895
13638	dysf	dys	pairfail	lca	0.868840526098	0.788839712242	0.863890496568
13656	kirre	LOC410853	pairwise	lac	0.635841203172	0.444796728178	0.795515841658
13756	GAD1_DROME	LOC410205	pairfail	lac	0.759173648677	0.681171233057	0.858332204161
14229	Dmel\\CG3689	LOC552140	pairwise	lac	0.38892482699	0.251601023183	0.680146323617
14274	Usp16-45	LOC725435	pairwise	alc	0.497903306737	0.613111396486	0.873768101885
14465	NA	LOC100576373	pairfail	lac	0.67685955391	0.433145335327	0.833580450349
14572	NA	LOC725245	pairfail	lac	0.801422056412	0.736378508363	0.869319070188
15227	BcDNA:AT29287	LOC102655673	pairfail	alc	0.235452618629	0.447797645706	0.801398817445
15231	NA	Oat	pairfail	alc	0.425458407256	0.45438852837	0.692424959643
15479	A2VED8_DROME	rtGEF	pairfail	alc	0.563495251914	0.682877702435	0.87735935018
15497	casp	casp	pairwise	alc	0.364105001646	0.712873728649	0.940093614326
15973	NA	LOC100578813	pairwise	lac	0.795134667882	0.691086666608	0.929236929155
16044	Coq2	LOC724350	pairfail	lac	0.643407389727	0.432944995409	0.892955957503
16537	NA	LOC409325	pairfail	alc	0.502655704474	0.669976320257	0.87579406382
16897	TSG101	LOC409438	pairfail	lca	0.806531561723	0.415471457022	0.653477653438
17086	CkIIbeta	LOC551655	pairwise	lac	0.425147946907	0.366392852223	0.70446384096
17408	sNPF-R	LOC727324	pairfail	lca	0.78750160529	0.608597047713	0.660378790373
17697	CAH2	LOC727237	pairfail	lac	0.75933688007	0.558102591454	0.7959489523
18312	NA	LOC102656249	pairfail	alc	0.166927747274	0.407216668896	0.621716783451
18651	NA	LOC100577222	pairwise	alc	0.572741125873	0.698325560306	0.873432737528
19245	NA	NA	pairfail	alc	0.196213637824	0.491122783815	0.700807864789
