OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10752	Psa	Psa	pairfail	lca	0.650969846155	0.446685309146	0.605907188583
12281	NA	LOC100578654	pairfail	alc	0.554104398906	0.60933950999	0.699714796395
12299	FBpp0271890	LOC727278	pairfail	alc	0.600321486996	0.806227404493	0.897270933829
12325	BEST:GH05015	LOC412748	pairwise	lac	0.562421841777	0.438549530518	0.773668569041
12332	eIF3i	Trip1	pairfail	lac	0.63233676844	0.618652342335	0.905129321332
12444	NA	LOC107963978	pairfail	alc	0.580501458422	0.676044865188	0.885195085358
12646	Prosalpha4	LOC410095	pairfail	lac	0.556690260845	0.437572366713	0.727397766828
12717	anon-WO0118547.245	LOC100576817	pairwise	lac	0.48334348245	0.3694540468	0.649027784477
12802	FBpp0076877	LOC409893	pairfail	alc	0.323891153453	0.699281707199	0.922187997152
12947	NA	LOC726129	pairfail	alc	0.743459517716	0.75986908765	0.888853372791
12957	CG8728-RA	LOC552175	pairwise	lac	0.235861180857	0.116611898906	0.781677192016
12989	NA	LOC412851	pairfail	alc	0.652624991849	0.653639531386	0.854763708079
13050	kst	LOC413332	pairwise	alc	0.0785389796665	0.216516652398	0.540432904437
13084	Q9W230_DROME	LOC409350	pairfail	lac	0.488817478979	0.2658850692	0.657420725015
13184	NA	LOC724513	pairfail	alc	0.625794084593	0.677447881046	0.923351684178
13201	Dmel\\CG11334	LOC409023	pairfail	lac	0.632164126754	0.364177622305	0.726217673077
13465	Dmel\\CG1998	LOC409360	pairfail	lac	0.611991309296	0.480391185099	0.850200718904
13473	Dmel\\CG14535	LOC411018	pairfail	lac	0.635663685645	0.372302643933	0.7037643289
13565	Sep5	2-Sep	pairfail	alc	0.514818731939	0.676810820443	0.855739973444
13856	NA	LOC552353	pairfail	alc	0.437335557632	0.561999024014	0.863793106847
14120	CG30491	LOC412442	pairfail	lac	0.370549799586	0.33791013619	0.513423470241
14539	CG30051	LOC552460	pairfail	lca	0.730792584975	0.496525972814	0.652364120305
14870	NA	LOC724727	pairwise	lac	0.445422120474	0.196253600587	0.56634680504
14891	TM9SF3	LOC551549	pairwise	lac	0.756290313744	0.723064022759	0.829527861283
14899	IntS1	LOC411469	pairfail	alc	0.493936303553	0.511337042671	0.797554408828
14912	U2af38	U2af38	pairwise	lca	0.819594185243	0.479189205137	0.765701930791
14920	CSN4	LOC551284	pairwise	alc	0.284449509264	0.411187796741	0.686012305809
15247	IntS2	LOC551355	pairwise	alc	0.185102787655	0.292976441211	0.633624624873
15294	NA	LOC100576121	pairwise	alc	0.190101363938	0.394641509955	0.654100380913
15406	MFS9	LOC412220	pairwise	alc	0.454817496992	0.774287365113	0.931338976101
15639	NA	LOC552354	pairwise	lca	0.748087362259	0.392325327651	0.745377744664
15682	mRpL16	mRpL16	pairfail	lca	0.75802055842	0.346445848247	0.661818159607
15723	NA	LOC552707	pairfail	lac	0.703234425427	0.502819327306	0.758933694837
16066	Vti1a	LOC551363	pairfail	alc	0.441651884285	0.691125601319	0.880305420109
16266	Kank	LOC550928	pairwise	alc	0.305360983489	0.394832285324	0.695391467226
16464	CycY	LOC550698	pairfail	alc	0.530031017999	0.609282978163	0.792801114408
16474	JMJD4	LOC412192	pairfail	alc	0.308022657332	0.76287572204	0.937314992913
17015	NA	LOC552600	pairwise	lac	0.737102210265	0.40631981576	0.809108574947
17090	Dmel\\CG6931	LOC102656155	pairwise	alc	0.437639431435	0.484797081299	0.804358279827
17164	Rbm13	LOC551383	pairfail	lca	0.750625043392	0.586019228113	0.653008676814
17169	Cyp1	LOC409890	pairfail	lca	0.735089108311	0.368289468824	0.683561948236
17669	dlt	LOC726888	pairfail	lca	0.737966147609	0.410393305496	0.639684593468
17869	phm	CYP306A1	pairfail	alc	0.187987843464	0.320445914405	0.688859573137
18129	Dmel\\CG1105	ArrL3	pairwise	alc	0.348837688195	0.362386620846	0.717681687478
18151	NA	pfk	pairfail	lac	0.652437700399	0.620489474124	0.905366070973
18321	NA	LOC100576930	pairwise	lac	0.582014115697	0.478661359204	0.855588801013
18964	NA	LOC102656738	pairfail	lca	0.603533074521	0.210890225033	0.519795875946
19100	NA	NA	pairwise	alc	0.185233783717	0.450748653485	0.754575825331
