OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10939	crp	crp	pairfail	acl	0.383004390829	0.478537881622	0.460864759362
11572	NA	LOC726625	pairfail	acl	0.468185569455	0.482432669853	0.481154217384
11698	Q9W245_DROME	LOC410941	pairfail	lac	0.6834413205	0.623945819712	0.717612394679
11703	Q9VUN9	LOC551509	pairfail	lca	0.698141474406	0.582566759011	0.682054491264
11713	ND-23	Ndufs8	pairfail	alc	0.522845596901	0.602193502145	0.824912978284
11746	Dmel\\CG10211	LOC413054	pairfail	lac	0.55682648864	0.454579639078	0.706056517717
11984	BEST:CK01670	LOC409949	pairfail	alc	0.120118283803	0.166971385726	0.454318001762
12229	Y7065_DROME	LOC412935	pairfail	alc	0.431494594552	0.608543258844	0.841505316316
12307	Sec24AB	LOC411410	pairfail	lac	0.54570543869	0.522015687629	0.819227034949
12325	BEST:GH05015	LOC412748	pairwise	lac	0.562538410051	0.363291586562	0.685618792639
12327	Ptpmeg	LOC551573	pairwise	lca	0.699742639663	0.515041725823	0.608290397287
12335	anon-WO0172774.58	LOC551907	pairfail	lac	0.718780787165	0.653955774411	0.808623311362
12345	Dmel\\CG10778	LOC551358	pairfail	acl	0.678066945373	0.738773164019	0.717146370615
12487	FBpp0084525	TfIIA-L	pairfail	lac	0.636189579785	0.422634924682	0.715734575529
12645	mus201	LOC410097	pairwise	alc	0.720145722725	0.747940014322	0.922421882532
12650	Su(H)	Su(H)	pairwise	alc	0.720124378893	0.747245995544	0.922448838474
12810	Torsin	LOC724985	pairfail	lac	0.405756709687	0.393595020391	0.701030127525
12812	Dmel\\CG9413	LOC409932	pairfail	lac	0.19169402619	0.18767629552	0.543516784192
12913	NA	LOC411403	pairfail	alc	0.360125987898	0.635891304553	0.808004219551
12932	CDC45L	CDC45L	pairwise	lac	0.705607106289	0.536865715566	0.787641653656
13016	CT9706	LOC726043	pairwise	lca	0.568626417583	0.267059838579	0.552403841309
13129	Dmel\\CG8031	NA	pairwise	lca	0.860340836814	0.450244695596	0.686666968467
13163	NA	LOC100577231	pairwise	alc	0.401510378081	0.467405873582	0.861705037808
13166	NA	NA	pairfail	alc	0.540875519634	0.569233545431	0.67957209819
13206	EloA-RA	LOC413407	pairfail	alc	0.733072650305	0.768247221201	0.883164562324
13353	A0A0B4LF92_DROME	LOC724996	pairwise	alc	0.120473514379	0.338108842994	0.653831539276
13480	Dme_CG7806	LOC725993	pairfail	alc	0.417160187407	0.593728794889	0.843696619535
13621	A0A1B2AKB3_DROME	mRpS24	pairwise	lac	0.828388595625	0.807263288746	0.898229825565
13717	A	LOC552182	pairwise	lac	0.807156540736	0.681966014676	0.914392902568
13758	Spase25	LOC410218	pairfail	alc	0.628577099381	0.723798653507	0.870964576495
14000	drongo	LOC551909	pairfail	alc	0.61075645899	0.656701692575	0.769039776046
14275	Dmel\\CG5112	LOC727271	pairwise	lac	0.771042485683	0.707553203275	0.866966208607
14479	Inx3	inx3	pairfail	alc	0.0958784109632	0.432371712518	0.638259966949
14515	Mekk1	LOC100578195	pairfail	lac	0.58032386917	0.548900153217	0.740180409569
14583	NA	LOC100576660	pairwise	lac	0.395919375306	0.378472154223	0.613136056503
14618	Pli	Pli	pairfail	alc	0.492495527369	0.711616748485	0.875782745607
14635	Dmel\\CG7011	LOC410338	pairfail	alc	0.479119903936	0.754714317832	0.871844029502
14696	A0A1B2AL76_DROME	LOC552791	pairwise	alc	0.608808591564	0.666904715952	0.868510733682
14796	RpS26	RpS26	pairfail	lca	0.68325739018	0.492539279748	0.550996014423
14858	SdhD	LOC725566	pairwise	alc	0.668397735731	0.783330934807	0.913859858642
14865	Dmel\\CG6745	LOC102654640	pairwise	alc	0.428725707073	0.696765521645	0.866138915099
14885	BcDNA:RH08992	NA	pairwise	lac	0.717416276868	0.495574864879	0.850411985406
14918	NA	LOC102653773	pairfail	lac	0.747329585227	0.568699804983	0.783665321742
14987	FBpp0080265	LOC412455	pairwise	lca	0.806098908632	0.432709683879	0.724906968856
15263	klhl10	KLHL10	pairfail	lac	0.580248270135	0.223584891748	0.665155047243
15743	exex	Mnx1	pairfail	alc	0.178615584205	0.468679174355	0.693559194109
15756	Asun	LOC408448	pairwise	alc	0.489165303371	0.688129741976	0.945400623956
15795	Rpt5	Tbp-1	pairwise	lac	0.669804935419	0.365688315407	0.705203686876
15870	pav	kinesin-6A	pairfail	lac	0.641660450464	0.41224722014	0.805849457242
15883	NA	LOC725318	pairwise	lac	0.576111387194	0.382263804203	0.742630067545
16060	CG11859-RA	LOC550969	pairfail	lac	0.691194262281	0.655544723439	0.874842626522
16191	A0A1B2AKQ4_DROME	LOC725718	pairfail	lac	0.409525086312	0.369124023489	0.795050078294
16232	NA	NA	pairwise	lac	0.643435140251	0.578407295533	0.799482749646
16691	cato	LOC100576434	pairwise	lac	0.552416198755	0.300817924684	0.691443131604
16695	Jarid2	LOC409252	pairwise	lac	0.913875306165	0.867291577375	0.960663560483
16720	NA	LOC412394	pairwise	alc	0.687898373373	0.73624521585	0.918963919306
16758	ACADM_DROME	LOC408567	pairwise	lac	0.743943380552	0.685331097515	0.896247763914
16766	Mtch	LOC726264	pairwise	lca	0.669638800905	0.3932665624	0.628305182525
16769	Dmel\\CG16717	LOC410665	pairwise	lac	0.743915294068	0.689647449168	0.896338374589
16819	BRWD3	LOC726985	pairfail	alc	0.712196063053	0.744123528266	0.836345095122
16825	Prosalpha6	LOC552654	pairfail	lac	0.715635565464	0.571278638471	0.815243560286
17116	RfC4	RfC4	pairfail	lca	0.673430889898	0.409806153876	0.649665839163
17150	dpr4	NA	pairfail	lac	0.547204368127	0.509411696355	0.589805641208
17216	CG1946	LOC409905	pairwise	lac	0.470993047621	0.365024060262	0.684503706153
17356	NA	LOC551411;LOC551443	pairwise	lac	0.544412407269	0.393077879441	0.74024893227
17362	san	LOC724486	pairfail	lca	0.888724857991	0.700867886934	0.821035200969
17447	A0A0B4KF96_DROME	NA	pairfail	alc	0.56474448568	0.665589312634	0.782939684435
17479	mRpS11	LOC410678	pairfail	lac	0.817438629551	0.724210219631	0.864614095579
17553	NA	LOC410349	pairwise	alc	0.299521934559	0.421717779781	0.729243606209
17719	NA	LOC727223	pairwise	alc	0.184852651849	0.441436985263	0.700572592296
17947	Dmel\\CG12333	LOC411204	pairfail	lac	0.642720018223	0.549047572677	0.724430331322
18082	NA	wgn	pairfail	alc	0.398228543421	0.495708189296	0.654272887114
18165	Dpit47	Dpit47	pairfail	lac	0.475172017356	0.375849373559	0.58001324418
18187	CG7220-RB	LOC409100	pairfail	alc	0.417149220067	0.556493460966	0.829581600364
18195	NA	LOC100576885	pairwise	alc	0.611488187771	0.613859356058	0.829309846994
18281	Dmel\\CG2100	LOC413815	pairfail	lca	0.945572508694	0.760937632076	0.875633376564
18565	Pgd	Pgd	pairfail	cla	0.870865239137	0.802104180298	0.747703225915
18869	NA	LOC725227	pairfail	lca	0.900854797751	0.678167845704	0.715976161981
19211	NA	LOC725444	pairfail	lac	0.700192937213	0.341019717481	0.84199373785
19454	Dmel\\CG7568	LOC411414	pairwise	lca	0.590530555225	0.197231881633	0.571434114911
