OG	K	P	FDR_P	interpretation
10518	0.81	0.0	0.0	relaxation
10535	0.65	0.0	0.0	relaxation
10540	0.73	0.0	0.0	relaxation
10548	0.32	0.0	0.0	relaxation
10647	16.68	0.0	0.0	intensification
10659	0.0	0.0	0.0	relaxation
10696	0.42	0.0	0.0	relaxation
10777	0.78	0.0	0.0	relaxation
10797	0.7	0.0	0.0	relaxation
10821	0.67	0.0	0.0	relaxation
10841	3.55	0.0	0.0	intensification
10950	0.75	0.0	0.0	relaxation
11032	0.31	0.0	0.0	relaxation
11055	0.81	0.0	0.0	relaxation
11065	5.94	0.0	0.0	intensification
11217	0.69	0.0	0.0	relaxation
11249	3.1	0.0	0.0	intensification
11324	0.66	0.0	0.0	relaxation
11330	3.79	0.0	0.0	intensification
11487	1.28	0.0	0.0	intensification
11568	0.73	0.0	0.0	relaxation
11748	0.66	0.0	0.0	relaxation
11770	2.95	0.0	0.0	intensification
11793	0.64	0.0	0.0	relaxation
12085	0.61	0.0	0.0	relaxation
12095	0.71	0.0	0.0	relaxation
12193	0.57	0.0	0.0	relaxation
12409	8.3	0.0	0.0	intensification
12527	0.1	0.0	0.0	relaxation
12603	0.52	0.0	0.0	relaxation
12892	0.44	0.0	0.0	relaxation
12936	0.06	0.0	0.0	relaxation
13022	2.52	0.0	0.0	intensification
13092	16.97	0.0	0.0	intensification
13176	6.01	0.0	0.0	intensification
13179	0.43	0.0	0.0	relaxation
13239	0.66	0.0	0.0	relaxation
13355	0.04	0.0	0.0	relaxation
13379	2.93	0.0	0.0	intensification
13457	0.51	0.0	0.0	relaxation
13483	0.63	0.0	0.0	relaxation
13693	3.11	0.0	0.0	intensification
13733	50.0	0.0	0.0	intensification
13754	0.66	0.0	0.0	relaxation
13844	0.65	0.0	0.0	relaxation
13920	0.58	0.0	0.0	relaxation
13929	0.79	0.0	0.0	relaxation
14023	0.56	0.0	0.0	relaxation
14065	0.61	0.0	0.0	relaxation
14101	2.19	0.0	0.0	intensification
14130	0.66	0.0	0.0	relaxation
14151	0.46	0.0	0.0	relaxation
14173	0.66	0.0	0.0	relaxation
14177	0.61	0.0	0.0	relaxation
14193	0.2	0.0	0.0	relaxation
14296	0.61	0.0	0.0	relaxation
14303	0.0	0.0	0.0	relaxation
14312	10.5	0.0	0.0	intensification
14423	0.74	0.0	0.0	relaxation
14471	0.77	0.0	0.0	relaxation
14489	0.6	0.0	0.0	relaxation
14584	5.34	0.0	0.0	intensification
14616	0.63	0.0	0.0	relaxation
14666	0.44	0.0	0.0	relaxation
