OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11148	NA	LOC725500	pairfail	lca	0.610475590753	0.466346000346	0.607001511754
12174	Dmel\\CG13917	LOC412643	pairfail	alc	0.206720133105	0.316596168848	0.64363575168
12272	Nf-YC	LOC408615	pairfail	lac	0.256377000429	0.200068471101	0.44570751155
12749	CG8611-RB	LOC413874	pairfail	alc	0.815373773273	0.868211465747	0.976662944773
12872	NA	LOC724920	pairfail	lca	0.904615067565	0.801763850615	0.880236209154
13473	Dmel\\CG14535	LOC411018	pairwise	lac	0.65475789483	0.471351238683	0.802961514174
14119	Dmel\\CG16779	NA	pairfail	alc	0.779156505074	0.835535178341	0.93278452533
14237	dbo	dbo	pairwise	alc	0.439065831615	0.554254834754	0.810649259839
14479	Inx3	inx3	pairwise	lac	0.66800595843	0.60589215796	0.807399021934
14626	NA	LOC100576185	pairwise	alc	0.0660102417217	0.205728680024	0.518172637786
14656	Atg17	LOC408358	pairfail	lac	0.755326029991	0.728854328202	0.902720925082
14709	NA	LOC408316	pairwise	alc	0.70543144841	0.723238498372	0.860583929051
14764	NA	LOC411506	pairfail	alc	0.40522794689	0.454494606721	0.618692381494
14793	FBpp0293063	LOC408389	pairfail	lac	0.691498871693	0.453521556463	0.777772153449
14864	NA	LOC552765	pairwise	lac	0.457112122281	0.292670125903	0.522793252191
15178	Vinc	LOC552082	pairwise	lac	0.375608290574	0.123936215444	0.377953069713
15183	dy	LOC410581	pairfail	lac	0.726278602888	0.594944669717	0.748259416756
15454	al	LOC552251	pairwise	lac	0.861380184171	0.706219279482	0.916267028561
15652	Hrb27C	LOC409961	pairfail	alc	0.804467386785	0.9084441357	0.959321694036
15761	NA	LOC725583	pairwise	lac	0.378019127195	0.294810063327	0.564063465195
16577	dmrt93B	LOC409455	pairfail	alc	0.574125901948	0.681142461455	0.806813526101
16783	Bem46	LOC412636	pairfail	lac	0.311821315164	0.201566718634	0.666489482006
17058	NA	LOC100577574	pairwise	lca	0.878057294053	0.592211244154	0.838401421157
17384	Dmel\\CG2556	LOC409057	pairwise	alc	0.517365504826	0.528386984725	0.684588687086
18525	Dpy-30L2	LOC725102	pairwise	alc	0.509064313176	0.731825936979	0.889213152002
18526	NA	NA	pairfail	alc	0.231560990596	0.32617636691	0.582763208621
18719	NA	NA	pairwise	lac	0.703884314019	0.507133828844	0.888093093924
