OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10501	NA	PRM1	pairfail	alc	0.289679408227	0.357944854146	0.740814549241
10889	r-l	LOC408461	pairwise	lca	0.735966559815	0.453938131501	0.674079342823
11168	NA	LOC410369	pairfail	alc	0.205648580434	0.264220521076	0.628807543007
11374	dnt	Dnt	pairfail	alc	0.205812843634	0.339487434318	0.611492285701
11571	NaCP60E	LOC411653	pairfail	lac	0.408001991238	0.299500284621	0.418112795151
11579	NA	AGLU3	pairfail	lac	0.214681073392	0.0746534341296	0.384110330183
11642	pxb	LOC100576129	pairfail	lac	0.544640020251	0.489332155527	0.625416534924
11751	AdamTS-A	LOC412091	pairwise	lac	0.526921797469	0.265927263099	0.653343151915
12077	BcDNA	SCR-B5	pairfail	lac	0.469018300187	0.240060359526	0.764542385544
12120	Fbxl7	LOC726706	pairwise	lac	0.417141176437	0.271860790133	0.634974624549
12165	HisCl1	LOC551680	pairfail	lac	0.315110900698	0.202620825638	0.647750377326
12168	FucTC	LOC102654353	pairfail	lac	0.532953104192	0.351417707647	0.671206978487
12475	NA	NA	pairwise	lac	0.345790328044	0.289156225164	0.579774656225
12607	NA	LOC410788	pairwise	alc	0.238859998847	0.385504991399	0.876309105726
12700	Rox8	Rox8	pairwise	alc	0.676298818226	0.695767064176	0.850533336417
12779	NA	LOC551712	pairwise	lac	0.399848742206	0.206875037509	0.623835126909
12837	NA	LOC551256	pairfail	alc	0.696402906915	0.742609937747	0.860158629995
12838	NA	LOC413498	pairfail	lac	0.307028357502	0.260627784221	0.524281439644
12998	NA	Cpap3-d	pairwise	lca	0.780444716899	0.393304683959	0.604911860248
13246	NA	LOC410178	pairwise	lac	0.416154192691	0.375365498721	0.646480906872
13404	NA	LOC725844	pairwise	lac	0.609955570866	0.459963520607	0.791391643482
13720	BOP1_DROME	LOC551531	pairfail	lac	0.562301452307	0.406192662541	0.705558381423
13762	Tap42	LOC102656107	pairwise	lac	0.444796281947	0.413112113783	0.774635294953
13863	NA	LOC552618	pairfail	lac	0.518472452239	0.453293349658	0.714289283568
13866	Nc73EF	LOC408286	pairfail	alc	0.413492374693	0.453063037361	0.714291353706
13930	Tip60	Tip60	pairwise	lac	0.717491204175	0.441942704	0.73092517329
13974	oxt	oxt	pairfail	alc	0.401428496366	0.426177352307	0.721503265288
14053	ec	LOC411038	pairfail	lac	0.466689342473	0.292327902656	0.641996633849
14258	CG6971	LOC551085	pairwise	lca	0.633836969857	0.263064092308	0.591033199708
14259	Dmel\\CG8507	LOC411533	pairfail	lac	0.634448537417	0.436475166769	0.790105833847
14329	NA	LOC411633	pairwise	lac	0.385490468086	0.292362121957	0.510444223789
14660	CG7890	Hs3st-B	pairwise	lca	0.548783470952	0.3180136221	0.533624024903
14749	Q7JZE8_DROME	LOC102655263	pairwise	alc	0.273607387823	0.446350656712	0.692478708575
15125	noi	SF3A3	pairfail	lac	0.683433899172	0.46459842721	0.708346166077
15290	IKKbeta	LOC726760	pairfail	lac	0.713177348301	0.424695499514	0.718839803395
15431	NA	LOC413576	pairwise	alc	0.218980845955	0.434199189792	0.654963972297
15594	A1Z6Z7_DROME	LOC409075	pairwise	lac	0.596185814464	0.467157846406	0.737345088574
15602	Dhc64C	LOC725068	pairfail	lac	0.686871989893	0.634306156965	0.863858873313
15707	l(2)37Cb	LOC726598	pairwise	lac	0.365189340012	0.130906852104	0.488187553207
15900	dati	LOC100576251	pairfail	lac	0.599258110897	0.42947697522	0.763912570091
16022	ebo	Exp6	pairwise	lac	0.421488740648	0.361408358967	0.688965801081
16093	Syx5	LOC552117	pairwise	lac	0.270140294284	0.216053812073	0.556226725579
16137	FBpp0077318	LOC100577139	pairfail	lac	0.595099739857	0.32570598795	0.759728868665
16305	Psn	Psn	pairfail	lac	0.502391680291	0.305373095291	0.610828512775
16327	NA	LOC102655100	pairwise	lac	0.49953895268	0.206602635827	0.740022266703
16479	Rpn13	LOC413299	pairwise	alc	0.41046337394	0.775779453116	0.903185063347
16686	NA	LOC408626	pairfail	lca	0.734771046638	0.461634213717	0.694363257846
16767	Q7K0D3_DROME	LOC551406	pairfail	alc	0.238177555585	0.523817481404	0.673254503895
17088	CG6385-RA	NA	pairwise	lac	0.420916022408	0.357212471709	0.611327497825
17305	A0A1B2AL46_DROME	Snrpc	pairwise	lac	0.609780777185	0.456465388982	0.758321320717
17912	anon-WO0107627.1	LOC727121;LOC727129	pairwise	alc	0.175869793631	0.199722813986	0.476163095735
18127	NA	GMCOX3	pairwise	alc	0.28627619484	0.332125484118	0.845952323325
18533	Arl6	NA	pairfail	alc	0.159916007097	0.367656805582	0.631550238927
18643	sens	NA	pairfail	lac	0.382690409611	0.211003564944	0.67380969863
19313	NA	LOC725746	pairfail	alc	0.250601391697	0.582281590832	0.65369144071
