OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10838	Su(var)2-10	D-PIAS	pairwise	cla	0.780575389133	0.680051108671	0.611766762613
11447	NA	NA	pairfail	alc	0.520407041684	0.663311909362	0.724410442091
11608	A9UNF9_DROME	LOC725632	pairfail	alc	0.391366815559	0.535177951848	0.707244898288
11626	Nlg3	B9VMQ5_APIME;NLG-3	pairwise	lac	0.447548095928	0.274460572233	0.67178085911
11668	l(2)05287	LOC550808	pairfail	cla	0.932561251901	0.839647502075	0.745258318648
11966	NA	LOC725274	pairfail	alc	0.483162004378	0.832992791898	0.919041412114
12073	fid	LOC552782	pairfail	lac	0.524675389337	0.282759195903	0.726785438265
12114	Dmel\\CG6218	LOC551847	pairfail	lac	0.391308243883	0.368544811485	0.710137444566
12119	MED28	LOC726666	pairfail	alc	0.544019089854	0.683907406251	0.902804386598
12216	Nep3	LOC408500	pairwise	alc	0.119869382113	0.287925661978	0.663678457196
12324	Dmel\\CG5853	LOC726944	pairfail	lac	0.662290264478	0.525651986726	0.830002611335
12416	su(Hw)	su(Hw)	pairwise	lac	0.761440069026	0.745780953998	0.90427492099
12428	alpha-PheRS	LOC552768	pairfail	alc	0.641907599762	0.723979470205	0.868540750627
12497	BBS4	LOC551897	pairwise	alc	0.4793982294	0.670234666004	0.869228983078
12522	CycE	CycE	pairwise	lac	0.493948089193	0.344202449993	0.590374580366
12540	NA	LOC726106	pairfail	lac	0.427551108657	0.382599487808	0.67748063702
12602	FIGL1_DROME	LOC552806	pairfail	lac	0.449234115303	0.341342690336	0.533858105768
12757	NA	LOC409308	pairfail	lac	0.537862707045	0.364234371364	0.654920231421
12802	FBpp0076877	LOC409893	pairfail	lac	0.359025045907	0.199771765452	0.500664065683
12855	Psf2	NA	pairfail	alc	0.446786941082	0.620790530557	0.77238382873
13025	Dmel\\CG16711	LOC724737	pairfail	alc	0.320617216284	0.353447623013	0.645437032229
13068	hppy	hppy	pairwise	alc	0.306683019083	0.378915796592	0.756423441919
13220	CG18616-RA	LOC409280	pairwise	alc	0.686730338509	0.790877893393	0.900530989428
13246	NA	LOC410178	pairfail	lac	0.624837516271	0.54857977893	0.74462978423
13415	CG1594	hop	pairfail	alc	0.438647654416	0.571572514274	0.792164508629
13530	NA	LOC552159	pairwise	lac	0.735290842097	0.531593412362	0.756575577114
13576	sgl	LOC413356	pairwise	lac	0.624555583277	0.500162595046	0.851846322452
13587	RpL7A	RpL7A	pairwise	lac	0.464608310357	0.412188206129	0.701965006839
13595	Npc2b	LOC725038	pairfail	alc	0.173963295441	0.408095943277	0.695761177408
13689	NA	LOC412797	pairwise	lac	0.649873918949	0.518660440077	0.764031738703
13691	Tsp97E	LOC551248	pairwise	lac	0.802907127477	0.491796778018	0.806773609547
13733	ken	ken	pairwise	lac	0.662799238757	0.453397391568	0.849657325412
13836	RpL12	RpL12	pairfail	alc	0.671277779447	0.690887803755	0.807285186392
13907	Q0E981_DROME	LOC413510	pairfail	lac	0.362576664021	0.313256723006	0.724923229186
