OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11755	NA	NA	pairfail	alc	0.314872159076	0.401209837013	0.576315373857
11812	Gsc	Gsc	pairfail	lca	0.903350715296	0.821571976736	0.8939951507
11993	nopo	LOC100577676	pairwise	lac	0.500765153432	0.396571197885	0.687293898795
12244	FBpp0085095	LOC551687	pairwise	lac	0.750952092995	0.471766588436	0.783303455636
12282	FBpp0303594	LOC410820	pairfail	lca	0.726462128859	0.410169950758	0.583792239469
12714	NA	LOC409818	pairfail	alc	0.793513240164	0.849319538312	0.916024103515
12934	Dmel\\CG31812	LOC100576366	pairfail	lac	0.426891846508	0.131916297374	0.475715820977
13922	NA	NA	pairfail	alc	0.13385793957	0.380591637933	0.594590052544
14126	Blm	LOC412756	pairfail	alc	0.166329681046	0.62865258911	0.861921486908
14484	CG6926	LOC724867	pairwise	alc	0.29874682778	0.414370646801	0.777563420528
14716	Dmel\\CG15894	LOC413427	pairwise	lac	0.466589248094	0.43949547112	0.680466720448
14883	Dmel\\CG12499	LOC726580	pairwise	lac	0.645400400329	0.398521529125	0.670559667618
14963	Rcd-1	LOC412388	pairfail	alc	0.4747889125	0.491985946394	0.735919235175
15213	FBpp0081481	LOC724242	pairwise	lca	0.880043573315	0.536433000515	0.742568015808
15311	Vmat	LOC408517	pairfail	alc	0.438827658657	0.585015331979	0.868105317929
15312	prel	LOC408511	pairfail	alc	0.224876033631	0.399625013295	0.737231428608
15749	NA	LOC551416	pairfail	alc	0.0247421870951	0.189823924547	0.513260963249
16094	NA	LOC503505	pairwise	alc	0.212427479054	0.610084165543	0.82545863544
16350	CG1665-RA	LOC724919	pairwise	lca	0.635167548676	0.211135181009	0.413707349977
16430	Pink1	LOC550929	pairwise	lac	0.736453209336	0.735110700987	0.915745117321
16855	A2VEJ3_DROME	LOC727485	pairfail	lac	0.562093995318	0.322960266721	0.788693168687
17411	NA	fab1	pairwise	lac	0.468080310575	0.347856732034	0.820890259542
18101	Q9VH66	LOC725901	pairfail	lca	0.747434732684	0.625210578237	0.729427756221
18351	NA	LOC725234	pairwise	alc	0.373026663518	0.568805329243	0.908211236572
