OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11130	NA	LOC100576271	pairwise	lac	0.327132319113	0.250281131361	0.392014761577
11553	Sbf	Sbf	pairfail	cla	0.684781286629	0.666678428283	0.649667793742
11633	NA	LOC100577967	pairfail	lac	0.352167785435	0.296004901381	0.447957605403
11674	MET14_DROME	LOC409900	pairwise	alc	0.302164457961	0.434084862698	0.638641115021
11698	Q9W245_DROME	LOC410941	pairfail	alc	0.628505555581	0.717014484338	0.75321108174
11731	CG3192-RB	LOC551660	pairwise	alc	0.289714151756	0.478351404827	0.75277319583
11772	NA	LOC107966021	pairwise	alc	0.527159564423	0.569762350486	0.834096654519
11785	Tsf2	Tsf2	pairfail	lac	0.637441271579	0.522069066454	0.672557355994
11820	Dmel\\CG43367	LOC724172	pairfail	lac	0.435947048033	0.171221494712	0.529115447987
12048	CCT7	Tcp-1eta	pairfail	alc	0.189183486121	0.33047339709	0.534958773835
12071	Dmel\\CG5731	LOC725899	pairfail	lac	0.766016336137	0.583781142148	0.886566836418
12074	pll	pelle	pairfail	alc	0.335845589681	0.337615132389	0.764545123969
12165	HisCl1	LOC551680	pairfail	lac	0.390247698539	0.2548834474	0.671266635176
12270	FBpp0302587	LOC727000	pairwise	alc	0.335025908386	0.54361725158	0.918503063832
12477	CG12950-RA	LOC411078	pairfail	lac	0.622633120161	0.240868999317	0.642885018332
12506	S6kII	S6kII	pairfail	alc	0.672006085769	0.69240655948	0.852015216332
13426	A2VEG4_DROME	CTL4	pairfail	lac	0.558069318274	0.400160573107	0.739348171693
13518	MESK2	LOC413005	pairwise	alc	0.50016655929	0.596071031016	0.778523175527
13628	Q9W1H1_DROME	LOC551114	pairfail	alc	0.241670991935	0.293597586218	0.553977619748
13656	kirre	LOC410853	pairfail	lac	0.603808975354	0.437739748869	0.785567885895
13737	jim	LOC410222	pairfail	lac	0.581002216755	0.447286371606	0.754080005081
13770	NA	LOC552275	pairfail	lac	0.620097194372	0.301008391225	0.638280133391
14060	NA	LOC100578834	pairwise	alc	0.440179765796	0.549780300103	0.78570860828
14160	Dmel\\CG2260	LOC724809	pairfail	alc	0.516233414566	0.536617816388	0.796518874165
14544	ChLD3	NA	pairwise	alc	0.429077312889	0.673083172005	0.791189459019
14575	ImpE1	LOC100576279	pairwise	lac	0.767723522082	0.463412954457	0.791903621771
14653	LACB2_DROME	LOC408355	pairfail	alc	0.361092142735	0.398060744167	0.589591545612
14850	NA	LOC410167	pairwise	lca	0.952784149512	0.498098135819	0.779400968358
14945	DOP1_DROME	LOC412544	pairfail	lac	0.607076374729	0.555075928271	0.730267674269
14977	CG6316	LOC100576848	pairfail	lac	0.546970071033	0.383491239978	0.654444906335
15450	kon	LOC412778	pairfail	lca	0.731339695986	0.277350557638	0.605786640182
15619	NA	LOC725053	pairfail	alc	0.196743425904	0.349788091258	0.508709606713
15632	CycH	CycH	pairfail	lca	0.8118826687	0.649675644034	0.80694945101
15640	Dmel\\CG4572	LOC410451	pairwise	alc	0.659721610398	0.772914764773	0.875328921956
15732	NA	LOC725542	pairfail	lac	0.454558731281	0.318629698311	0.625853851691
16288	Prosap	LOC726461	pairwise	lca	0.710414150117	0.237885357222	0.654214551709
16484	NA	LOC100579055	pairwise	lac	0.636162989205	0.429674831892	0.830545051704
16629	NA	NA	pairfail	lac	0.606334358847	0.462815145752	0.783408515017
16739	NudC-L	LOC412375	pairfail	lca	0.699983377102	0.33071265676	0.607105895329
16999	FBpp0079542	eEF1delta;LOC726638	pairwise	lac	0.330943378275	0.19670698554	0.609070300284
17095	levy	Cox6a1	pairfail	acl	0.0853499622715	0.698668762288	0.620626759177
17640	PPP1R15	LOC724843	pairfail	alc	0.196701009116	0.599833152347	0.835749107364
17856	NA	LOC100576671	pairfail	lac	0.364299434839	0.174432681487	0.424411773828
17944	Dmel\\CG8132	LOC551760	pairfail	lca	0.774087159113	0.454115275412	0.675768926075
18591	NA	LOC724421	pairfail	alc	0.2573902009	0.458212533532	0.696068980469
18626	Cbl	Gtpx1	pairfail	alc	0.336473669583	0.597850911538	0.744412647815
18734	Q9W114_DROME	LOC725357	pairfail	alc	0.478816145648	0.516798612856	0.791116066009
