OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11329	YME1L	LOC409178	pairfail	alc	0.427510294668	0.70329271674	0.729393904922
11388	wde	LOC100577401	pairfail	alc	0.518021211231	0.637946861102	0.643903305113
11547	Mitf	LOC410802	pairfail	alc	0.00697208191214	0.116129629985	0.578457424467
12266	NA	LOC412523	pairwise	lac	0.729624464744	0.491902332792	0.744056506897
12269	NA	Obp6	pairwise	lac	0.398034432387	0.345298638229	0.805159715215
12358	twz	LOC411214	pairwise	lac	0.597060369141	0.376623230188	0.698747477926
12385	eRF1	LOC725555	pairfail	lac	0.6854009623	0.54562954432	0.771364739406
12405	Bili	Bili	pairfail	lca	0.931299532928	0.653764888929	0.858155153073
12485	Ssrp	Ssrp	pairwise	lac	0.762279755685	0.625226001294	0.879644227133
12677	kcc	LOC411113	pairwise	alc	0.314829666107	0.372157072429	0.811531117678
12689	Dmel\\CG43778	LOC100577335	pairfail	alc	0.321887784997	0.324588396429	0.653371874177
12739	Tis11	LOC725393	pairfail	lac	0.569208198735	0.531660651807	0.762194560114
12827	CG9696-RA	LOC413341	pairfail	alc	0.786288818084	0.842839899229	0.916707356787
13194	KrT95D	LOC725093	pairwise	lac	0.729923075588	0.300297103759	0.852610421129
13334	Pdxk	LOC552663	pairwise	lac	0.529626212755	0.37132875328	0.721561830306
13604	ase	LOC724458	pairfail	lac	0.706880839091	0.543504848892	0.925081849558
13616	NA	Dnmt1a	pairfail	lac	0.876124755793	0.630907040356	0.886896099475
13705	BcDNA:GH03377	LOC724822	pairfail	lca	0.933329966169	0.849227202632	0.91445667117
14020	KFase	LOC726754	pairfail	alc	0.578929919884	0.630706936705	0.838449342027
14025	Inx2	inx2	pairfail	alc	0.572747966018	0.615859869953	0.788906002373
14394	FBpp0083611	LOC552007	pairwise	lac	0.582129038794	0.565320772733	0.711039026013
14408	put	LOC412471	pairwise	lca	0.519890387294	0.156993758673	0.473166587177
14515	Mekk1	LOC100578195	pairwise	lac	0.773036699264	0.664967858699	0.820690919807
14612	Dmel\\CG11241	LOC100576186	pairfail	lca	0.734903638303	0.346370969751	0.608111614695
14626	NA	LOC100576185	pairfail	lac	0.50088254977	0.3832802405	0.607997783137
14678	pcx	pcx	pairwise	lca	0.797449308498	0.52193436048	0.702829216823
14821	FBpp0085043	LOC408863	pairwise	alc	0.29468617485	0.400879058702	0.649776104487
14869	CdGAPr	LOC552265	pairwise	lac	0.607029662579	0.329616006623	0.627755117946
14873	Mcr	TEPA	pairfail	lac	0.406049423778	0.385485678337	0.730448520588
15269	mnb	LOC409111	pairfail	lca	0.748759435963	0.522042550941	0.743138094262
15272	Spred	Spred	pairwise	lac	0.886929033358	0.829028338408	0.938301150237
15276	CycC	CycC	pairwise	lac	0.887078057286	0.833398153384	0.938358175825
15340	Dmel\\CG6013	LOC410897	pairfail	alc	0.524949443442	0.620624312282	0.731559030561
15379	NA	LOC102654496	pairfail	lac	0.690371130686	0.419550455919	0.726211564353
15619	NA	LOC725053	pairfail	lac	0.791132671477	0.66757022082	0.812715349241
15769	wech	LOC724752	pairfail	lac	0.909262710974	0.81943448519	0.941153552975
15862	NA	LOC100577506	pairfail	lca	0.850173472577	0.691117016553	0.787844542781
15899	NA	NA	pairwise	lac	0.538893336557	0.361219851262	0.681678439163
16205	A8E6W2_DROME	LOC409600	pairfail	alc	0.6312946122	0.661614316065	0.784703778318
16220	Rack1	Rack1	pairfail	lac	0.699679520131	0.56579998745	0.822566213867
16309	IFT52	LOC551202	pairwise	lca	0.885367890673	0.758513485417	0.805958919483
16327	NA	LOC102655100	pairwise	lca	0.865579498644	0.633268139193	0.800884607192
16629	NA	NA	pairwise	lca	0.860672783796	0.686919982844	0.82918562734
16686	NA	LOC408626	pairfail	lca	0.84130107554	0.536147015905	0.767141349124
16731	NA	LOC102655422	pairfail	alc	0.16471685436	0.253319412945	0.479372795335
16867	Q9W246_DROME	LOC100577763	pairfail	lca	0.821946419996	0.584609175535	0.750306029693
16894	Ak6	Ak6	pairfail	lac	0.820768153163	0.714630353515	0.856209609826
17128	NA	LOC409045	pairfail	lac	0.499451540393	0.375851622227	0.632382426792
17340	akirin	akirin	pairfail	lca	0.783443941159	0.454952720527	0.704469074916
17404	A1Z9I6_DROME	LOC551842	pairfail	acl	0.730815848862	0.792399992908	0.75025493097
17459	Dmel\\CG6607	LOC724380	pairfail	lac	0.64865847904	0.581755803229	0.835902887654
17511	Tango5	Vmp1	pairwise	alc	0.705260086242	0.716399049866	0.873030814606
17553	NA	LOC410349	pairfail	alc	0.152984456269	0.231225667474	0.537911271891
17581	NA	LOC725351	pairwise	lac	0.892653315126	0.713827671758	0.902209374534
17621	NA	NA	pairfail	lac	0.349075951739	0.272841555288	0.504201924343
17659	NA	NA	pairfail	alc	0.614750601589	0.618308788801	0.817334205105
17663	NA	LOC411378	pairfail	alc	0.493867588341	0.831791652497	0.927056352184
17748	NA	LOC725824	pairfail	lac	0.505712029791	0.298694149038	0.574817886019
17947	Dmel\\CG12333	LOC411204	pairfail	cla	0.847963885665	0.726823966116	0.708253833956
18018	NA	LOC552316	pairfail	lac	0.758863592112	0.691883454358	0.819747902925
18031	Noa36	Noa36	pairwise	alc	0.744091926849	0.8455764435	0.960920968322
18342	Dmel\\CG1983	LOC551119	pairfail	lca	0.718832700008	0.388881542407	0.629655685443
18669	NA	LOC100576542	pairfail	alc	0.559300861535	0.693205947005	0.787496906032
19027	Aps	Aps	pairfail	cal	0.858068949971	0.860480765684	0.787967614358
19331	NA	NA	pairfail	alc	0.127938517179	0.529933311542	0.727556023281
19448	CG7276-RB	NA	pairwise	alc	0.50380511307	0.526555278972	0.75607786116
