OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11645	Dmel\\CG9467	LOC411419	pairfail	alc	0.321886734439	0.560887581029	0.658110894681
11777	Mtp	Mtp	pairfail	alc	0.469268665482	0.586144671795	0.755987408147
11901	Dmel\\CG6574	LOC412431	pairfail	lac	0.689793394259	0.634203880007	0.892297559275
12374	NA	LOC100577300	pairfail	lac	0.495124485326	0.474753721495	0.658995765572
12391	Vps52	LOC412346	pairwise	lac	0.676318525917	0.490175890972	0.777292796253
12426	FBpp0084307	LOC107964895	pairfail	lac	0.898795733131	0.637532618864	0.904178225049
12609	NA	LOC724283	pairwise	alc	0.524826650927	0.608986157248	0.806959252062
12689	Dmel\\CG43778	LOC100577335	pairfail	alc	0.173387000583	0.463923827182	0.70913971343
12721	TMEM216	LOC102656287	pairfail	alc	0.561874987096	0.80671624451	0.932555140106
12948	ttk	LOC410918	pairfail	alc	0.19069651701	0.206231146874	0.552114083743
13023	MED15	LOC551478	pairwise	alc	0.349001175489	0.672524860525	0.875745829736
13277	NA	LOC102656657	pairfail	alc	0.789853044675	0.864058039325	0.913611106598
13337	nerfin-2	LOC725965	pairwise	lac	0.335384980632	0.260011880971	0.731618401943
13684	mRpL1	mRpL1	pairfail	alc	0.495845048709	0.646739478232	0.844117283581
13700	NA	LOC100576774	pairwise	lac	0.817402785081	0.49493782424	0.864664202041
13839	NA	LOC100576462	pairwise	alc	0.298784169317	0.389936588213	0.624812487306
13868	TAM41_DROME	NA	pairfail	lac	0.707179898896	0.690626219139	0.895868208126
13975	Dmel\\CG14830	LOC725577	pairfail	alc	0.556809959467	0.762464094401	0.912143937145
13984	MBD-R2	LOC725950	pairfail	lac	0.688563689053	0.546401179371	0.775361954669
14171	NA	NA	pairwise	alc	0.145578655973	0.213604918821	0.489387666673
14245	Dmel\\CG9231	LOC551126	pairfail	lac	0.747125934605	0.587462557479	0.778086540352
14383	Adat1	adat	pairfail	lac	0.517755255282	0.455321374582	0.63394460025
14515	Mekk1	LOC100578195	pairfail	alc	0.296024488604	0.513409915637	0.816083004526
14619	Art4	LOC411458	pairwise	lac	0.548103827622	0.331535980746	0.593511428929
14718	NA	LOC413428	pairfail	lac	0.280520822016	0.251329326741	0.578339385216
14719	NA	NA	pairfail	alc	0.110968185032	0.292165815	0.586387710932
14727	Dmel\\CG2258	LOC409152	pairfail	lac	0.5395795075	0.289182306575	0.551362684758
14784	bnl	NA	pairwise	lac	0.585591813644	0.461127650923	0.743473352773
14809	Wee1	wee	pairwise	alc	0.624909332064	0.637682707877	0.909855184238
14815	CG1418-RA	107965354	pairwise	lac	0.71324278004	0.636225291573	0.909565691288
14855	l(2)k14505	LOC413714	pairfail	alc	0.523886940938	0.792506614215	0.933834128901
14859	NA	LOC411699	pairfail	lac	0.882352606661	0.808402972227	0.887596754111
14872	Iswi	Iswi	pairwise	alc	0.480247775355	0.525288345191	0.747230867674
14926	eIF2gamma	Su(var)3-9	pairfail	lac	0.567701426618	0.362278428186	0.646549930009
15247	IntS2	LOC551355	pairwise	alc	0.599224989442	0.615531254613	0.884127417431
15268	NA	LOC100576829	pairfail	alc	0.659611303414	0.670308226943	0.879980892121
15348	salm	LOC551803	pairwise	lac	0.696543209466	0.398136514584	0.744081873153
15507	bwa	bwa	pairfail	alc	0.66265007375	0.701229214332	0.857855554377
15619	NA	LOC725053	pairfail	alc	0.388133867627	0.50604815976	0.776458921025
15644	CG3108	LOC410452	pairwise	alc	0.311707874041	0.344681374055	0.617986573023
15654	CSN8	LOC408424	pairfail	lac	0.666940446519	0.630138471106	0.821792896715
15683	Sin3A	LOC409049	pairfail	lca	0.728373410672	0.330418832263	0.599437529973
15768	NA	LOC411373	pairfail	lac	0.426082188467	0.387996257598	0.707650009796
16047	Bap170	LOC100577227	pairwise	lac	0.613667343222	0.409908831213	0.668090072305
16337	Zw	LOC725325	pairfail	alc	0.388266282106	0.540209356609	0.707260220134
16391	Gpo1	LOC551904	pairfail	lac	0.518466931192	0.391780223785	0.724365779647
16451	Dmel\\CG3632	LOC413663	pairwise	lac	0.608645799834	0.602203764954	0.855228538036
16494	NA	LOC411960	pairwise	lac	0.4245209676	0.397038910317	0.610864816659
16686	NA	LOC408626	pairwise	lac	0.677853857215	0.675567200373	0.90969810485
16754	Pex23	galectin2	pairfail	lac	0.826545646578	0.636901932328	0.884889158253
16827	LSm1	LOC552260	pairwise	alc	0.632642957218	0.668508521498	0.812649915848
17068	TFAM	NA	pairfail	lca	0.819456980768	0.260950198514	0.655489043187
17207	PSMD9_DROME	LOC410128	pairfail	lac	0.739245343085	0.69928914354	0.906143329841
17392	NA	LOC725536	pairfail	lac	0.823184034563	0.762111652595	0.91214296778
17511	Tango5	Vmp1	pairwise	alc	0.640167009883	0.772549532257	0.930201410772
17642	subdued	LOC724912	pairfail	lac	0.716693626397	0.637188287458	0.75381910815
17852	NA	LOC724829	pairfail	lac	0.624077259231	0.543543689124	0.798752508505
18133	NA	LOC100577638	pairwise	alc	0.0774151857919	0.257466926167	0.7354028391
18148	mEFTu2	NA	pairfail	lac	0.789156791782	0.652726277849	0.924883713613
18177	BcDNA:GH06717	LOC725069	pairwise	alc	0.258168265421	0.44350645328	0.642577798537
18310	BEST:LP03871	NA	pairfail	alc	0.41735931902	0.616905814826	0.77309863945
18925	NA	LOC100577805	pairwise	lac	0.516603802818	0.378017315912	0.733628290973
18943	BcDNA:RH61753	LOC726902	pairfail	acl	0.549366141119	0.786947068463	0.774178592924
