OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10928	cac	Cac	pairfail	lac	0.496946595147	0.419384981677	0.645592521411
11180	eys	LOC726433	pairwise	alc	0.0675708257987	0.218618680948	0.709033317477
11373	l(3)76BDm	LOC412104	pairfail	lca	0.592710381184	0.172509670632	0.488628811223
11470	Dmel\\CG42272	LOC551525	pairwise	alc	0.25418186766	0.539459008395	0.601312412391
11571	NaCP60E	LOC411653	pairfail	acl	0.53764812036	0.636016711481	0.583326755056
11608	A9UNF9_DROME	LOC725632	pairfail	lca	0.658784308181	0.262382410508	0.402584748723
12067	SmydA-8	LOC726471	pairfail	lac	0.195240956054	0.172325832124	0.670026394054
12256	NA	LOC410885	pairfail	alc	0.384981877852	0.531538092964	0.668073940946
12711	Gga	Gga	pairwise	alc	0.18910225089	0.299479833901	0.582073114478
12819	NA	LOC413738	pairfail	alc	0.352506635678	0.412171064166	0.557455904542
12916	Dmel\\CG10903	LOC551414	pairfail	alc	0.278420266712	0.291069620218	0.551939925296
12931	Rad17	LOC724559	pairwise	alc	0.226261678701	0.429001869221	0.803630431903
12944	RpL5	RpL5	pairwise	lac	0.501738186778	0.310417007857	0.616818879232
13013	fs(1)h	LOC551826	pairfail	lca	0.956929908406	0.908285705435	0.942004164854
13048	Dmel\\CG13097	LOC411233	pairfail	lac	0.716781192864	0.576235067047	0.744309937331
13433	CG10055-RA	LOC551431	pairwise	lca	0.836419340558	0.692140495213	0.824705481758
13485	DHYS_DROME	LOC100578266	pairfail	alc	0.59949943056	0.620266648699	0.83150631763
13842	Appl	Appl	pairwise	lac	0.733567030859	0.577375147818	0.758773304195
13850	NA	LOC726389	pairwise	alc	0.644112873391	0.669395734708	0.831685963995
13860	ASPP	LOC102655479	pairwise	lac	0.322783240373	0.282741956229	0.668535404141
14181	Q7JYQ4_DROME	LOC406118	pairwise	lac	0.594663470702	0.40649377518	0.756936221729
14420	Dmel\\CG13272	LOC100578368	pairwise	lac	0.722170184594	0.707313988909	0.956315430969
14602	NA	LOC100578745	pairwise	lac	0.369965053961	0.323000252728	0.680755028875
14888	NA	LOC100578805	pairfail	alc	0.437768082025	0.457874152811	0.804914820978
14940	NADE_DROME	LOC409487	pairfail	lac	0.413994241659	0.389257801532	0.712484734364
15076	NA	NA	pairfail	alc	0.638527753803	0.672220618183	0.84326383805
15201	Golgin104	LOC726416	pairfail	alc	0.446445891189	0.677608280055	0.804862123751
15269	mnb	LOC409111	pairfail	alc	0.557992440366	0.725614118381	0.969917571749
15328	Spt3	LOC102654708	pairwise	lca	0.849603412581	0.574900451819	0.782641460375
15515	Xpac	LOC412240	pairfail	lac	0.442634471409	0.167348628686	0.545017125508
15607	Dmel\\CG31019	LOC552096	pairfail	lac	0.508740016225	0.424060863356	0.773472344046
15715	DCP1	Dcp1	pairfail	alc	0.636677977556	0.714405549558	0.862083987137
15859	NA	LOC726670	pairwise	alc	0.566151333092	0.583055997211	0.72756230597
15973	NA	LOC100578813	pairfail	alc	0.622927063456	0.655459985889	0.854343280455
16064	EndoA	LOC408623	pairfail	lac	0.616125461305	0.572411751244	0.890937362538
16492	NA	CPR24	pairfail	lac	0.44542895616	0.369334781353	0.557444360387
16506	PhKgamma	107964213	pairfail	alc	0.259548710883	0.584178153271	0.825326485215
16528	Nmd3	Nmd3	pairfail	alc	0.425696460468	0.630806466778	0.843723753472
16545	NA	LOC107964806	pairfail	lca	0.628318312205	0.274634243281	0.540724070465
16651	NA	LOC411651	pairfail	lac	0.650037023588	0.486444974092	0.69809394244
16682	NA	LOC102656154	pairfail	lac	0.780863414233	0.713165123779	0.922950872532
17180	NA	LOC724768	pairwise	lac	0.345867394656	0.296739671581	0.71183126837
17550	Cht6	LOC409759	pairfail	lca	0.930035284473	0.795182585286	0.906521635955
17765	NA	LOC552788	pairfail	lac	0.302672724192	0.27772204477	0.590740418995
17816	NA	Syt7	pairfail	lac	0.550486425683	0.408728141174	0.746646591543
18175	NA	NA	pairfail	lac	0.355441370455	0.302574498014	0.545239988714
18498	MESR3	NA	pairwise	lac	0.320567380687	0.30450061581	0.77447561135
18592	NA	NA	pairfail	alc	0.315581675708	0.712705733119	0.867405711394
