OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10817	btsz	LOC408337	pairfail	lac	0.461573219948	0.405830876029	0.612852389255
11040	FBpp0312566	LOC725606	pairfail	acl	0.437258618507	0.515154520826	0.492636789496
11067	FBpp0309863	dop3;Dop3	pairwise	alc	0.34700683854	0.36321533423	0.599509248322
11465	SRR1L_DROME	LOC100577209	pairfail	alc	0.325584597281	0.432556929938	0.807334407473
11937	cwo	LOC726204	pairwise	alc	0.344689286891	0.421746328282	0.664826849748
12228	A1ZBW6_DROME	LOC408439	pairfail	lac	0.399815012075	0.301409434271	0.601080874208
12263	CT31491	LOC409950	pairwise	alc	0.302239119511	0.656949481072	0.92392817147
12472	CT33170	LOC414043	pairwise	lac	0.658277186805	0.502895182349	0.736604135974
12484	cpb	LOC409581	pairwise	lac	0.420187503351	0.359831260027	0.652116839748
12490	Atg6	Atg6	pairfail	alc	0.415841729971	0.536713883321	0.563496520145
12637	RpA-70	LOC725934	pairwise	lac	0.573378064508	0.396221547664	0.735413605423
12812	Dmel\\CG9413	LOC409932	pairfail	lac	0.598610483847	0.448220087919	0.703336024283
12944	RpL5	RpL5	pairfail	lac	0.481565863175	0.414724961937	0.883727324583
13055	CG34039-RA	NA	pairfail	lca	0.629618161786	0.243135738808	0.558234988172
13159	Q9W232_DROME	LOC411649	pairfail	alc	0.290494049719	0.353990930981	0.696854818901
13180	NA	LOC100576540	pairfail	lac	0.639645005853	0.484893401382	0.8478402552
13215	NA	LOC100577250	pairwise	alc	0.286921895469	0.555569310827	0.892351350278
13463	NA	LOC410070	pairfail	alc	0.627880301156	0.636668074795	0.799115370052
13672	B7YZF8_DROME	LOC552074	pairfail	alc	0.393102447551	0.439253837003	0.799772864749
13810	E(z)	E(z)	pairfail	alc	0.376900551045	0.418629285316	0.697643224577
13940	Dmel\\CG10585	NA	pairfail	alc	0.436728048803	0.531456053519	0.834851702484
14478	spg	LOC725928	pairfail	lac	0.322988735969	0.195715514631	0.553080147597
14479	Inx3	inx3	pairwise	alc	0.417898207378	0.569867759756	0.880403515816
14555	BcDNA:GH01073	LOC725497	pairfail	alc	0.623678371649	0.651242657207	0.866175174124
14559	Dmel\\CG15760	LOC409764	pairwise	alc	0.668238394593	0.671770153823	0.870858453488
14761	Wnt2	Wnt7	pairwise	lca	0.869626095027	0.407520698332	0.710206150298
14778	Dmel\\CG5790	LOC725465	pairfail	lac	0.516742662611	0.4409487013	0.769636277652
14845	CG8654-RA	LOC412056	pairfail	lac	0.447372100301	0.431534970242	0.707942856474
14945	DOP1_DROME	LOC412544	pairwise	lac	0.787810440666	0.691900685685	0.882657642778
15089	Osi14	LOC408538	pairfail	lac	0.35433494286	0.223966238736	0.516406092755
15284	NA	MED31	pairfail	lca	0.755597789536	0.507552951041	0.745684936722
15353	EG:BACR7A4.17	LOC725745	pairwise	lac	0.542535142589	0.361196048245	0.753302455302
15422	ths	NA	pairwise	lac	0.702365427285	0.303762047556	0.796057281215
15460	CG15020-RA	LOC725078	pairwise	alc	0.359533466086	0.477786564571	0.795952786451
15773	l(3)72Ab	LOC551530	pairfail	lac	0.528174781236	0.422845498806	0.567889164678
15783	Dmel\\CG10075	LOC726341	pairfail	alc	0.307093048098	0.542327497621	0.78901192374
15832	byn	LOC412976	pairwise	lac	0.822149450738	0.613488784199	0.893875421716
15963	NA	LOC100576195	pairwise	lac	0.245867394855	0.140611733344	0.521875692736
16026	Pld	Pld	pairwise	lca	0.798772567197	0.375031683362	0.589039679359
16149	Cul5	cul-5	pairwise	alc	0.209990257506	0.492108431115	0.71407142538
16157	Ero1L	Ero1L	pairwise	alc	0.302216614868	0.364619386767	0.735564938723
16246	CG11551-RA	LOC725058	pairfail	alc	0.327293395424	0.562229400259	0.818902388898
16265	RPF1_DROME	LOC410875	pairfail	lac	0.463461317581	0.453984374466	0.815021019337
16352	Tsp5D	Tspan1	pairwise	lac	0.513568984405	0.500628515521	0.774727545401
16528	Nmd3	Nmd3	pairwise	lac	0.677929841386	0.442590454055	0.728348945802
16575	Arp8	Arp8	pairwise	alc	0.38106924175	0.395872725322	0.719376949052
17036	ND-13B	Ndufa5	pairwise	lac	0.531440121541	0.349513088442	0.576914219101
17482	NA	LOC724349	pairfail	lac	0.713408813724	0.448905350842	0.759750434959
17536	WDR12_DROME	LOC413404	pairfail	alc	0.407142805864	0.497166109264	0.682513827307
17698	mRpL32	mRpL32	pairfail	lac	0.541538044169	0.533641252575	0.835453678114
18016	Hers	LOC100577995	pairfail	alc	0.22794746418	0.308307674491	0.577202421829
18123	NA	NA	pairfail	lac	0.434679051461	0.37050252929	0.792008101576
18150	Rab23	LOC410157	pairfail	lac	0.43413880918	0.306674878563	0.53570634438
18415	NA	LOC552624	pairwise	lac	0.675149367875	0.608442081143	0.691865647345
19102	NA	107964876	pairfail	alc	0.0766883481893	0.357634202727	0.794282578038
