OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11119	Tom70	Tom70	pairfail	alc	0.495289415846	0.624601940849	0.706391677895
11262	NA	LOC724616	pairwise	alc	0.0892507897203	0.219083760993	0.645822771378
11644	NA	LOC725529	pairfail	alc	0.316738905959	0.425331124991	0.782397783283
11693	NA	LOC100579037	pairfail	lac	0.412944943028	0.339477507917	0.62842078647
11751	AdamTS-A	LOC412091	pairwise	lca	0.78488248546	0.221327839677	0.617784241247
12482	NA	NA	pairfail	alc	0.719434664641	0.741463778185	0.851249348561
12830	NA	NA	pairfail	lca	0.570073804167	0.306973665785	0.523231528823
12869	Sf3b1	LOC551331	pairfail	alc	0.359639129691	0.506506386701	0.724964781643
13080	NA	NA	pairfail	alc	0.166982234131	0.499721053911	0.755941589066
13094	Dmel\\CG5131	NA	pairfail	lca	0.763804301128	0.306876199134	0.514425573124
13150	NA	LOC726915	pairfail	lca	0.86780212036	0.549933814581	0.757231897005
13521	RpL24-like	LOC100576457	pairfail	lac	0.392737031585	0.345985351797	0.748517226887
13649	Ref1	LOC725396	pairfail	alc	0.557149983302	0.740970842821	0.863934271428
13665	Dmel\\CG13699	LOC100576284	pairfail	alc	0.393475505961	0.50691975276	0.746752504285
14231	hiw	LOC551203	pairwise	lca	0.654657516982	0.380245368526	0.645001419652
14603	RfC3	LOC410266	pairfail	lca	0.702176749101	0.273664635966	0.626626635189
15050	Dmel\\CG6678	LOC410602	pairfail	lac	0.743299231214	0.642597275857	0.823099250458
15203	CG5634	LOC413755	pairfail	lac	0.553691854314	0.458713921578	0.699582889703
15207	NA	LOC726436	pairfail	alc	0.544652390466	0.610364802437	0.778609193747
15208	anon-WO0118547.250	LOC409440	pairwise	lac	0.657351295802	0.489748010016	0.796284125394
15216	NA	LOC413795	pairfail	alc	0.44834492193	0.61053510643	0.779081860902
15319	RnrS	RnrS	pairfail	alc	0.470266714894	0.523112193103	0.827303139827
15332	NA	LOC408714	pairfail	lac	0.353252654727	0.155911327775	0.458807078416
15418	DIP1	LOC412491	pairfail	lca	0.838994510754	0.422872244625	0.715395397048
15526	D2hgdh	LOC726115	pairwise	lac	0.323530275545	0.169598935311	0.423848202473
16048	CT21630	LOC552058	pairwise	alc	0.197525018653	0.68133313437	0.864330687514
16097	qkr54B	NA	pairwise	alc	0.49878751417	0.525358030941	0.71517868102
16139	defl	LOC413351	pairfail	alc	0.587286246595	0.631243322454	0.788728364572
16284	escl	LOC551412	pairfail	lac	0.877489052412	0.865623006636	0.96140695217
16625	FBpp0099887	LOC100579062	pairfail	lac	0.331941841801	0.251709732535	0.579834083709
17107	kri	LOC551948	pairwise	alc	0.190667853826	0.318693723291	0.645459500829
17131	NA	LOC409231	pairfail	alc	0.158978072948	0.571215339055	0.679868386403
17659	NA	NA	pairfail	alc	0.33062401056	0.547527586427	0.756177958799
17915	NA	LOC100577387	pairfail	alc	0.435007476212	0.543490217412	0.703951069311
18156	NA	LOC100577140	pairfail	lac	0.708281530165	0.673495458252	0.715723004842
19023	NA	NA	pairwise	lac	0.724479620073	0.603318417233	0.848554660949
