OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11071	SKIP	LOC413382	pairwise	lca	0.68048394043	0.530783716236	0.679066595013
11484	CG30268	LOC726905	pairwise	lac	0.543303716489	0.531905799982	0.843332082831
11553	Sbf	Sbf	pairfail	lac	0.426539050815	0.401867433038	0.614316615056
11638	sona	LOC409468	pairfail	lca	0.565743254707	0.241061086338	0.433130143356
11694	FBpp0080529	LOC727159	pairfail	alc	0.301125731584	0.321167520278	0.541183419915
12840	NA	LOC100578888	pairfail	lac	0.640255690881	0.614495621117	0.69596842668
12869	Sf3b1	LOC551331	pairfail	lac	0.524226468969	0.512787870979	0.857464949876
13096	Dmel\\CG3308	LOC412378	pairfail	lac	0.880533152532	0.576185610324	0.888726629468
13110	Apc	LOC552177	pairwise	lac	0.350578286101	0.298278862512	0.690942300953
13239	ry	LOC724718	pairfail	lac	0.610732397959	0.467321854258	0.754194937319
13253	InR	LOC411297	pairfail	lac	0.462118337286	0.311213666451	0.713453949773
13340	opa	LOC100578824	pairwise	lac	0.506024993114	0.389007042762	0.777407025768
13585	NA	LOC107964546	pairwise	alc	0.189860051007	0.195335452274	0.473089803603
13859	NA	LOC107965022	pairfail	lac	0.763585039907	0.61942345058	0.782260457776
13868	TAM41_DROME	NA	pairfail	alc	0.491425336579	0.582191934276	0.735519166901
13902	CG11880-RA	NA	pairfail	alc	0.193259452103	0.358595461989	0.725535657079
13925	Dmel\\CG8417	LOC551447	pairwise	lac	0.389215034535	0.360673968877	0.60784067877
14195	Nelf-E	LOC411195	pairwise	alc	0.330708416451	0.409932284352	0.679792703059
14198	HBS1	LOC551269	pairwise	lac	0.552241329046	0.311916997268	0.786982628279
14251	ALiX	ALiX	pairfail	alc	0.540738822131	0.566610516274	0.825212128675
14262	Dmel\\CG10889	LOC413825	pairwise	lac	0.330759224857	0.217842141753	0.737938417434
14274	Usp16-45	LOC725435	pairfail	lac	0.331353529195	0.203788680357	0.765802206537
14389	Droj2	Droj2	pairwise	lac	0.682289649235	0.513073987999	0.797110536344
14393	RpS24	LOC408799	pairwise	lac	0.684720051125	0.502348200495	0.815654178164
14817	Dmel\\CG10011	NA	pairfail	alc	0.0922344686809	0.201517717676	0.471967169942
14990	BEST:LD14959	LOC725662	pairfail	alc	0.388335288912	0.432182562786	0.622680034309
15323	CG17111-RA	nompA	pairwise	alc	0.356199093906	0.602866097187	0.827434247917
15984	NA	LOC727294	pairwise	lca	0.867491600889	0.424717451838	0.753697765312
16014	CG10064-RA	552238	pairfail	alc	0.13150167609	0.514640627157	0.721332683795
16029	Synd	LOC409748	pairwise	alc	0.280894901057	0.33289504023	0.665557499591
16146	Ranbp9	Ipo9	pairfail	lca	0.567427149005	0.222486232744	0.515875911314
16319	NA	LOC726925	pairfail	lac	0.565061500926	0.428300069415	0.567952021873
16427	NA	NA	pairfail	alc	0.44024676434	0.49621208251	0.734732925662
16574	NA	LOC100577727	pairfail	alc	0.279671833837	0.69050593133	0.824774846282
16636	ckn	LOC726770	pairfail	alc	0.253451084626	0.542416489641	0.769927774626
16662	Dmel\\CG3407	LOC411652	pairwise	lac	0.662605104551	0.38545035452	0.697829193508
17238	NA	LOC727247	pairwise	alc	0.241917243394	0.519524598216	0.729178698448
17521	NA	NA	pairwise	lac	0.548505709492	0.476968927021	0.740056292467
17913	CG1231-RA	NA	pairwise	alc	0.424051564685	0.744132749936	0.880054106126
17914	NA	LOC727151	pairfail	lac	0.864041490302	0.634807917628	0.882874107824
18272	NA	LOC102655512	pairwise	lac	0.437216527084	0.427504784206	0.734467685819
18541	NA	LOC100576492	pairfail	alc	0.175514525456	0.413006981333	0.570134777199
