OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11075	FBpp0081732	LOC724727	pairfail	lac	0.39936407305	0.263452466222	0.613449360171
11090	Prp19	Prp19	pairfail	alc	0.134616051079	0.229963065134	0.476185405163
11225	NA	LOC726153	pairfail	alc	0.156118821113	0.374961536101	0.549444015276
11766	Cad96Cb	LOC552546	pairfail	lac	0.614478773501	0.500492422454	0.830720290796
11836	NA	LOC552509	pairwise	lac	0.280577616604	0.259496040056	0.462659882389
11935	NA	LOC724389	pairwise	lac	0.276133197235	0.209645195916	0.597780247924
12380	sha	LOC411336	pairfail	lac	0.546437893383	0.519759797471	0.82121848338
12388	Dmel\\CG10383	LOC725516	pairwise	lac	0.345599071364	0.323130955043	0.702549659439
12467	Atpalpha	LOC411083	pairwise	lac	0.55535538439	0.357383853148	0.638157843658
12548	CT25972	LOC551422	pairwise	alc	0.278482983614	0.314259517088	0.657978709134
12636	Rab19	Rab-RP3	pairfail	lac	0.462103713479	0.395335871989	0.672523698878
12755	pgant3	LOC725487	pairwise	lac	0.620607832854	0.341104604444	0.697405060599
12858	CG2182	LOC724214	pairfail	lac	0.134275044544	0.114075326901	0.448074092105
12937	fz	fz	pairfail	lac	0.28205163501	0.152327274353	0.383838016298
13010	gus	NA	pairwise	lac	0.483502728449	0.480966899394	0.825385404731
13263	Cat	Cat	pairwise	alc	0.0926067219894	0.16744069482	0.636219097647
13344	Dmel\\CG42674	LOC408963	pairfail	alc	0.311539343631	0.418891241063	0.718160130413
13523	fws	LOC552540	pairwise	lac	0.773486936425	0.707451926156	0.817013351556
13788	rho-4	LOC412319	pairfail	lac	0.909650445588	0.844827086179	0.946460674062
13798	Mks1	LOC102653893	pairfail	lac	0.909340264404	0.844616385112	0.938276769009
14018	Dmel\\CG2006	LOC551981	pairfail	lac	0.480267501287	0.339333717415	0.574429277708
14070	thoc5	LOC412584	pairfail	alc	0.278560834042	0.28677868159	0.645473914145
14184	Dmel\\CG14967	LOC552502	pairwise	lca	0.716491664965	0.546892942313	0.694209114573
14210	Dmel\\CG3645	NA	pairwise	lca	0.714902419232	0.539894902465	0.688846949506
14980	NA	LOC100577943	pairwise	alc	0.582999704883	0.600377128678	0.872775551008
14991	C7LA94_DROME	LOC409384	pairfail	lca	0.917502098317	0.722224124814	0.836031845921
15167	Dmel\\CG9259	LOC726965	pairwise	alc	0.561423406737	0.660424271188	0.795756420895
15197	Dmel\\CG11537	LOC552258	pairwise	alc	0.283997110609	0.349103754723	0.734323775569
15200	Wnk	LOC725503	pairwise	alc	0.167801529435	0.223839448463	0.742403217922
15257	tws	LOC410604	pairwise	lac	0.648878148646	0.493359934318	0.746668743894
15422	ths	NA	pairwise	lac	0.406462101527	0.217015127591	0.728291143412
15897	Sin	RPC5	pairwise	alc	0.438446054804	0.591179869446	0.8152276888
15903	Dmel\\CG5235	LOC726997	pairfail	lac	0.908306133914	0.884557788963	0.971722870476
16020	Atf-2	LOC100576527	pairwise	lac	0.7758842469	0.520767926867	0.776084366832
16473	Scm	Scm	pairfail	lac	0.567117826595	0.509345976759	0.674600961813
16524	FBpp0311212	MED14	pairwise	lac	0.680884344658	0.559808010255	0.746812684839
16577	dmrt93B	LOC409455	pairwise	alc	0.315321831676	0.555334961586	0.862466977313
16855	A2VEJ3_DROME	LOC727485	pairfail	alc	0.717266210931	0.775990206783	0.916204428776
17839	NA	LOC724156	pairwise	lac	0.950806416118	0.718618651316	0.966223603866
18313	NA	NA	pairfail	alc	0.349474483343	0.448006084676	0.861966949015
18408	NA	LOC102656652	pairwise	lac	0.599892170899	0.259420393904	0.641192376314
18426	CG11360	NA	pairwise	lac	0.583788885873	0.367706558221	0.756100888448
18750	Fem-1-RA	LOC413692	pairwise	lac	0.681190951219	0.513790214311	0.807060700171
18870	P32	LOC413762	pairfail	alc	0.142646985577	0.279205870954	0.609625920036
19511	NA	NA	pairfail	alc	0.600129468544	0.736758941767	0.801374408021
