OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10831	Arpc2	Arc-p34	pairfail	acl	0.491948483153	0.729502772841	0.551997816703
11279	NA	LOC409852	pairfail	alc	0.340524761288	0.369688741494	0.620224691347
11355	beat-VII	LOC551098	pairfail	lca	0.589949001533	0.25809874315	0.498862988202
11506	DIP-delta	LOC410662	pairfail	lac	0.260292573494	0.223545057589	0.526853757952
11615	NA	LOC100578046	pairfail	alc	0.329826711468	0.403417651015	0.723644725387
11926	NA	MED18	pairfail	lac	0.8015986066	0.736766830136	0.958610795321
12172	ZnT63C	LOC552634	pairfail	alc	0.331142019686	0.409455489858	0.610828165334
12264	FBpp0311451	LOC551801	pairfail	alc	0.412343448224	0.475460053352	0.856552647571
12358	twz	LOC411214	pairwise	lac	0.58332228322	0.459523816462	0.79038011103
12567	CG12183	LOC409217	pairwise	lac	0.652980224111	0.607469506601	0.803129496153
12677	kcc	LOC411113	pairwise	alc	0.465241176338	0.482892834968	0.739548081719
12819	NA	LOC413738	pairfail	lac	0.799840467414	0.761979406243	0.914400145647
13045	EG:63B12.7	LOC102654594	pairfail	alc	0.344278952416	0.503209865057	0.746467558391
13134	mfrn	mfrn	pairwise	lac	0.688541130288	0.661753890591	0.774705372454
13328	BEST:GH23590	NA	pairfail	lac	0.527757750542	0.426926412562	0.744976022525
13387	SP1173	LOC410041	pairfail	alc	0.157474506158	0.212268159786	0.507096328554
13860	ASPP	LOC102655479	pairwise	lac	0.382521994659	0.265122568599	0.525403575337
14031	d	LOC727368	pairwise	lac	0.610227998337	0.433226567635	0.702649551295
14138	Q7K490_DROME	LOC411145	pairfail	lac	0.321789177025	0.196761929563	0.538102924466
14195	Nelf-E	LOC411195	pairfail	lac	0.538744394778	0.479315687781	0.795365225979
14280	hoip	LOC102655272	pairwise	lac	0.636316194513	0.465884541963	0.722009348234
14467	tap	tap	pairfail	lac	0.573070504691	0.329552200896	0.606005306434
14475	CG9485	NA	pairwise	lac	0.85713868405	0.755345489599	0.859060878656
14478	spg	LOC725928	pairfail	lac	0.46950654964	0.447683816801	0.79872828614
14683	nkd	LOC724997	pairwise	lac	0.318780862079	0.303816846529	0.614162853869
14775	Sos	LOC552718	pairwise	lac	0.738020453475	0.721668981164	0.867380557567
14796	RpS26	RpS26	pairfail	lca	0.768276474019	0.455644487408	0.559441883733
14898	Dmel\\CG10217	LOC412513	pairfail	lac	0.854993604881	0.633571883329	0.895285720499
15029	CG6166	LOC724865	pairfail	lac	0.641397662423	0.37254811872	0.66536371582
15334	NA	LOC100576249	pairfail	alc	0.24250521274	0.418665400821	0.716598811338
15340	Dmel\\CG6013	LOC410897	pairfail	lac	0.495609978509	0.468455231349	0.700190640046
15348	salm	LOC551803	pairwise	alc	0.389026345624	0.459366077305	0.756355360837
15366	Dmel\\CG6674	LOC726788	pairwise	lac	0.620093662005	0.605123422018	0.852302126455
15465	NA	LOC412361	pairwise	alc	0.781629467688	0.915833236371	0.970693520911
15469	Pmm45A	Pgm2	pairwise	alc	0.836559817609	0.915858969069	0.970723834849
15619	NA	LOC725053	pairwise	lac	0.687376610644	0.608439610039	0.86349135101
15706	NA	NPF	pairfail	alc	0.266004575885	0.384927677417	0.849575329322
15707	l(2)37Cb	LOC726598	pairfail	alc	0.119336499074	0.269035855614	0.681381798926
16019	LD41494p	Trx1-like3	pairwise	lac	0.536750475399	0.297910523797	0.691370528737
16220	Rack1	Rack1	pairwise	lca	0.749820048621	0.41418293755	0.724681735541
16223	NA	LOC551773	pairwise	lca	0.802212303149	0.574215993169	0.778453826612
16250	NA	LOC725419	pairfail	lca	0.897841150168	0.640370814039	0.831378895251
16263	Fim	LOC408694	pairwise	lac	0.553250888592	0.313282634292	0.677754855565
16328	NA	LOC725165	pairwise	lac	0.37336139452	0.284793483798	0.680436548075
16384	l(2)37Cg	LOC725633	pairwise	alc	0.431973383353	0.591955167243	0.80071158346
16796	Nf-YB	Nf-YB	pairwise	alc	0.599136958225	0.661329439596	0.893272030037
17027	Ogg1	107964412	pairfail	lac	0.508932755572	0.395705610684	0.696409862617
17068	TFAM	NA	pairwise	lac	0.535093526748	0.357139833701	0.701065016713
17165	sd	LOC408616	pairfail	alc	0.090666444846	0.156739226816	0.393589867266
17311	NA	NA	pairwise	alc	0.396666952281	0.486972453824	0.788767331931
17362	san	LOC724486	pairfail	lac	0.776106244968	0.70978636647	0.83297505698
17371	Dmel\\CG11158	NA	pairwise	alc	0.500004758731	0.532179470829	0.737826713878
17389	Dmel\\CG7781	LOC726321	pairfail	alc	0.373242649747	0.530870480827	0.839840278
17552	NA	LOC100577449	pairfail	lac	0.540358514666	0.348356002345	0.7532549261
17671	NA	LOC726312	pairfail	alc	0.331851364601	0.351250774034	0.547041441737
17840	sob	LOC725003	pairwise	lac	0.579058339351	0.536627926918	0.803437612388
