OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11642	pxb	LOC100576129	pairfail	lca	0.725854768282	0.544954298538	0.58354576635
11872	NA	LOC725749	pairfail	alc	0.181804072201	0.347721808626	0.69176365709
12301	NA	LOC413029	pairfail	alc	0.498497756147	0.518285512383	0.77935462854
12550	Tctp	Tctp	pairfail	lac	0.248902837335	0.19710731833	0.536369184574
12737	fliI	LOC412468	pairfail	alc	0.19084155727	0.271810654839	0.540492391694
13028	APP-BP1	LOC550745	pairfail	alc	0.30767983946	0.32653005642	0.666639636473
13143	Dmel\\CG15186	LOC102654281	pairfail	lac	0.886309861801	0.646245246059	0.89148227222
13147	NA	LOC409444	pairfail	alc	0.435102191623	0.451130024519	0.719728972188
13386	CG14438-RB	LOC107966027	pairwise	lac	0.281175574688	0.0799717686249	0.403586250951
13489	NA	LOC102654344	pairwise	lac	0.495038130301	0.260718070954	0.607389179882
13502	NA	LOC727202	pairfail	lac	0.597835773544	0.541871818699	0.796976261782
13607	FBpp0303419	LOC100576384	pairfail	alc	0.492321706533	0.594381728507	0.827060008954
14046	Poxn	Poxn	pairwise	lac	0.840849854001	0.55062451806	0.841734789625
14125	NA	LOC411172	pairfail	lac	0.615747274434	0.515496263367	0.841931615171
14251	ALiX	ALiX	pairfail	lac	0.407472766354	0.263536786153	0.55838231267
14595	NA	LOC724290	pairwise	alc	0.427502427577	0.499800360496	0.731743553803
15215	NA	LOC409179	pairfail	lac	0.329605324219	0.311946545607	0.552044412715
15422	ths	NA	pairfail	lac	0.577140838261	0.475124135254	0.710053053517
15426	bgm	bgm	pairfail	lac	0.243769512522	0.06564134635	0.404838526847
15991	NA	LOC551340	pairwise	alc	0.37170639298	0.449909078954	0.674271008769
16453	BcDNA:RE67710	LOC100576515	pairfail	lca	0.805160702643	0.624678139675	0.761552394059
16685	NA	LOC552326	pairfail	lac	0.42288876731	0.389550525468	0.595975125908
16994	NA	LOC409019	pairfail	lac	0.35702243914	0.208938213498	0.416360920347
17076	NA	NA	pairfail	lac	0.590869686627	0.487786692375	0.694503595125
18163	Myb	LOC409733	pairfail	lca	0.87879252985	0.666482813308	0.686730878404
18609	ND-24	Ndufv2	pairfail	lac	0.424958885669	0.26085022049	0.61474832672
