OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
12070	NA	LOC725708	pairwise	alc	0.457419816631	0.502481447644	0.749978024799
12390	Stam	Stam	pairfail	lac	0.398496404782	0.326634933972	0.570979081309
12405	Bili	Bili	pairfail	lac	0.757182356686	0.613204555428	0.821867453627
12472	CT33170	LOC414043	pairfail	alc	0.484499635771	0.695717544211	0.818441297411
12553	Dmel\\CG5274	LOC409262	pairfail	lac	0.673778536124	0.575951729702	0.781353888363
12602	FIGL1_DROME	LOC552806	pairfail	lac	0.45195742928	0.404078220577	0.600509579298
12845	NA	AmNOS	pairfail	alc	0.548551459373	0.700933967045	0.914003182342
12849	NA	NA	pairfail	alc	0.548360130675	0.700806475388	0.913963282615
13104	BcDNA:AT13596	NA	pairfail	lac	0.755793197215	0.574648751652	0.782981259477
13154	Oga	LOC411905	pairfail	alc	0.641969532434	0.716454471025	0.884229658859
13169	NA	Tpcn1	pairwise	lac	0.453542635846	0.417167969771	0.656481093528
13247	NA	LOC725208	pairfail	alc	0.308574861723	0.411925766802	0.679944531248
13312	bru1	LOC409780	pairfail	lca	0.493011891738	0.168731833628	0.414818269693
13796	NA	NA	pairwise	lac	0.749875029657	0.641043611052	0.857879410363
14194	hfw	LOC412164	pairwise	lac	0.364256143082	0.296071993446	0.474489474249
14332	NA	LOC724741	pairfail	lac	0.325828818793	0.284543933112	0.733080170579
14335	shu	NA	pairwise	lca	0.681028838626	0.475754738367	0.679046171329
14339	CG12124	LOC102655503	pairwise	lac	0.324378546668	0.257010099528	0.741778922422
14342	NA	PIH1D1	pairwise	alc	0.423771798921	0.50539309532	0.684669991861
14511	NA	LOC726800	pairfail	lac	0.762564071213	0.589197883445	0.918129034902
14571	anon-EST:Posey100	LOC412154	pairwise	alc	0.547954523694	0.56442495549	0.849480155101
14589	NA	LOC727221	pairwise	lac	0.577232796325	0.558415947298	0.743746137409
14922	rept	Reptin	pairfail	alc	0.355750935057	0.422770897322	0.690286537689
15200	Wnk	LOC725503	pairfail	lac	0.199688358777	0.0899069196526	0.313680928261
15222	NA	LOC408370	pairfail	lac	0.452361538756	0.311955998783	0.585879380602
15314	NA	Gad1	pairfail	alc	0.445737895501	0.625086162745	0.722197994152
15367	NA	Ard1	pairwise	alc	0.626371575821	0.767171189059	0.893083208899
15388	Pal1	LOC408568	pairfail	lac	0.419397728059	0.348742090367	0.736198320019
15458	tou	LOC551071	pairfail	lac	0.774235305231	0.415680913254	0.903229875829
15533	NA	NA	pairwise	lac	0.496329707939	0.257866423796	0.627601709505
15661	Dhfr	Dhfr	pairwise	alc	0.394655959486	0.463800452977	0.759494668217
15736	Q4QQA2_DROME	fu	pairwise	alc	0.37604427477	0.435082870426	0.686565661786
15903	Dmel\\CG5235	LOC726997	pairfail	lac	0.650241392571	0.618244751564	0.856120438321
15988	CG14100-RA	LOC724247	pairfail	alc	0.49823282445	0.657504476184	0.868371882844
16064	EndoA	LOC408623	pairwise	lac	0.493037408848	0.25825210004	0.582923541075
16202	NA	SPH54	pairfail	lac	0.533473664656	0.523309711478	0.702733212979
16204	NA	102656311	pairfail	alc	0.366267506255	0.401204410205	0.59454283301
16225	wtrw	NA	pairfail	lac	0.535487611322	0.43039349221	0.646187636459
16479	Rpn13	LOC413299	pairfail	lac	0.420628441075	0.305761631435	0.545550395365
16600	Dmel\\CG9541	LOC100578112	pairfail	alc	0.367557764028	0.389109653963	0.721466793449
16973	NA	LOC724432	pairfail	lac	0.494018009929	0.3832303671	0.807434859194
17394	NA	NA	pairfail	lac	0.525629245601	0.316417701473	0.565558655379
17669	dlt	LOC726888	pairfail	lac	0.559764452942	0.436750973959	0.626826634207
17825	BG:DS00941.3	LOC412642	pairwise	alc	0.0416281844207	0.0918224096098	0.671383915011
18004	NA	LOC724115	pairfail	alc	0.478382053506	0.495611615417	0.745838215533
18134	SelT	LOC550992	pairfail	alc	0.495382727228	0.581414966611	0.675096851991
18163	Myb	LOC409733	pairfail	lca	0.836329056606	0.568139641817	0.713680974125
18359	ND-B14.5A	LOC724264	pairfail	alc	0.279518718559	0.31320459157	0.651136057989
18655	REG	LOC410403	pairwise	alc	0.329604521969	0.681726402509	0.874108533975
18787	sm	LOC410674	pairfail	alc	0.231815999466	0.395096898953	0.828738853625
18935	NA	NA	pairfail	acl	0.196136036899	0.508157860278	0.502721229597
18949	NA	NA	pairfail	alc	0.306992163954	0.61530342681	0.869555420242
