OG	K	P	FDR_P	interpretation
10367	0.48	0.0	0.0	relaxation
10379	0.3	0.0	0.0	relaxation
10431	35.77	0.0	0.0	intensification
10535	0.62	0.0	0.0	relaxation
10568	8.11	0.0	0.0	intensification
10647	49.48	0.0	0.0	intensification
10664	0.35	0.0	0.0	relaxation
10743	3.13	0.0	0.0	intensification
10752	1.55	0.0	0.0	intensification
10753	35.15	0.0	0.0	intensification
10884	0.56	0.0	0.0	relaxation
10899	2.47	0.0	0.0	intensification
10954	50.0	0.0	0.0	intensification
11030	1.59	0.0	0.0	intensification
11031	2.83	0.0	0.0	intensification
11309	0.71	0.0	0.0	relaxation
11475	0.22	0.0	0.0	relaxation
11581	2.17	0.0	0.0	intensification
11623	0.48	0.0	0.0	relaxation
11671	50.0	0.0	0.0	intensification
11748	1.38	0.0	0.0	intensification
11751	50.0	0.0	0.0	intensification
11862	0.2	0.0	0.0	relaxation
11986	50.0	0.0	0.0	intensification
12004	4.5	0.0	0.0	intensification
12082	5.54	0.0	0.0	intensification
12184	0.74	0.0	0.0	relaxation
12303	18.88	0.0	0.0	intensification
12377	0.44	0.0	0.0	relaxation
12410	0.13	0.0	0.0	relaxation
12459	1.32	0.0	0.0	intensification
12462	0.47	0.0	0.0	relaxation
12513	1.51	0.0	0.0	intensification
12539	3.82	0.0	0.0	intensification
12556	19.07	0.0	0.0	intensification
12604	50.0	0.0	0.0	intensification
12606	10.06	0.0	0.0	intensification
12844	0.49	0.0	0.0	relaxation
12854	50.0	0.0	0.0	intensification
12855	48.63	0.0	0.0	intensification
12925	3.71	0.0	0.0	intensification
13071	0.45	0.0	0.0	relaxation
13172	4.42	0.0	0.0	intensification
13314	0.08	0.0	0.0	relaxation
13373	0.42	0.0	0.0	relaxation
13386	0.72	0.0	0.0	relaxation
13439	50.0	0.0	0.0	intensification
13532	9.46	0.0	0.0	intensification
13589	1.33	0.0	0.0	intensification
13730	2.78	0.0	0.0	intensification
13888	7.1	0.0	0.0	intensification
14084	0.29	0.0	0.0	relaxation
14214	0.67	0.0	0.0	relaxation
14232	21.98	0.0	0.0	intensification
14243	47.43	0.0	0.0	intensification
14303	17.0	0.0	0.0	intensification
14335	4.3	0.0	0.0	intensification
14448	0.72	0.0	0.0	relaxation
14546	3.23	0.0	0.0	intensification
14566	10.45	0.0	0.0	intensification
14977	0.03	0.0	0.0	relaxation
15023	0.51	0.0	0.0	relaxation
15046	0.27	0.0	0.0	relaxation
15065	0.18	0.0	0.0	relaxation
15164	0.74	0.0	0.0	relaxation
15243	0.0	0.0	0.0	relaxation
15358	2.12	0.0	0.0	intensification
