OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11055	Strn-Mlck	LOC725936	pairfail	lac	0.460766055538	0.421427299942	0.521832957571
11075	FBpp0081732	LOC724727	pairwise	alc	0.59405652172	0.604958301758	0.954732783849
11459	NA	LOC100577046	pairfail	lca	0.766787102517	0.497420549036	0.71105372388
11608	A9UNF9_DROME	LOC725632	pairfail	alc	0.373566853943	0.435954554324	0.580969384
11935	NA	LOC724389	pairwise	lac	0.523020052034	0.292931394228	0.654612666149
12618	NA	NA	pairwise	lac	0.741894538984	0.63260128203	0.759538284824
12794	CG8841	LOC550991	pairwise	lca	0.859552759826	0.53584239099	0.784896255912
12934	Dmel\\CG31812	LOC100576366	pairfail	lac	0.357199533534	0.157899768656	0.490183415661
14060	NA	LOC100578834	pairfail	lac	0.406022823125	0.345043073259	0.669923776509
14125	NA	LOC411172	pairfail	lca	0.933679199767	0.670695924456	0.9205353849
14259	Dmel\\CG8507	LOC411533	pairfail	alc	0.405208968128	0.628232884616	0.812722785165
14469	NA	NA	pairfail	alc	0.658103653316	0.697754107598	0.946677866158
15213	FBpp0081481	LOC724242	pairfail	lac	0.68022015916	0.508030089587	0.803737303841
16377	Gbeta76C	NA	pairwise	lca	0.787751605004	0.465117767682	0.679252296523
16453	BcDNA:RE67710	LOC100576515	pairwise	lca	0.888063732465	0.556215111946	0.706107671193
16913	caup	LOC412840	pairfail	lca	0.953058043985	0.835881961803	0.894533862427
18101	Q9VH66	LOC725901	pairfail	cla	0.956948204935	0.889764640694	0.767585967855
18938	NA	NA	pairfail	alc	0.0604581072937	0.455698463492	0.643888685448
