OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11935	NA	LOC724389	pairwise	lac	0.458359374021	0.224565415022	0.543953886337
13596	Dmel\\CG3940	LOC725261	pairfail	alc	0.315867916531	0.337779687578	0.426743229064
14060	NA	LOC100578834	pairfail	lac	0.351631773721	0.283544987121	0.537312903275
14490	Oli	LOC726594	pairwise	alc	0.904481110164	0.955282817225	0.976363780774
15213	FBpp0081481	LOC724242	pairfail	lac	0.61528998185	0.491698882162	0.791889369169
15214	BEST:GH02390	LOC409180	pairfail	alc	0.171711337915	0.315725369816	0.590405542631
16377	Gbeta76C	NA	pairwise	lac	0.65342144874	0.480556101262	0.68680856043
16913	caup	LOC412840	pairfail	lca	0.970176026003	0.874520010896	0.92057961748
17533	NA	NA	pairwise	alc	0.246698285977	0.29585588355	0.526429722961
18078	CG8515	LOC726995	pairwise	alc	0.322573975193	0.51055478998	0.704354904371
18616	NA	LOC726323	pairfail	lac	0.848945914287	0.522444452643	0.865562233157
18938	NA	NA	pairfail	alc	0.072182037372	0.380646292543	0.60687141582
