OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10502	NA	NA	pairwise	alc	0.293369499699	0.683667935502	0.883543088793
11028	CG11981	LOC552579	pairfail	alc	0.172907244013	0.455646485394	0.769094862991
11266	sro	shroud	pairfail	lca	0.747370260677	0.582957538126	0.703003828152
11859	ich	LOC724334	pairfail	lca	0.962756198316	0.5978438608	0.876348882686
11934	NA	LOC100576784	pairfail	lac	0.662629344246	0.356602180742	0.747391544046
12392	A1Z934_DROME	LOC409494	pairfail	alc	0.129749167046	0.347422410154	0.757214069483
12467	Atpalpha	LOC411083	pairfail	lac	0.643048265594	0.504763405729	0.795446235432
12549	Dg	LOC727440	pairfail	lac	0.717983444564	0.701401047481	0.907099966503
13249	FBpp0112027	LOC411048	pairwise	lac	0.651344460049	0.524261822189	0.768189368747
13380	anon-WO02059370.23	LOC413002	pairwise	lac	0.773726735638	0.725267908631	0.904830934501
13663	geko	LOC726987	pairwise	lac	0.575185040541	0.440268096058	0.679318561692
14080	FBpp0306050	Nep2	pairfail	lac	0.565118611657	0.403876432097	0.745121760981
14135	Q8SWZ1_DROME	LOC551046	pairfail	lac	0.282376646108	0.188116575321	0.563977232879
14621	NA	LOC551683	pairfail	lca	0.800357889315	0.474207808569	0.790222693322
14744	Cht10	LOC412273	pairfail	lca	0.552323993992	0.233921341463	0.552129111507
14998	CG7706-RA	LOC412637	pairfail	alc	0.540849961269	0.628336296272	0.832525444401
15244	uex	LOC552800	pairfail	alc	0.310761366805	0.328345319505	0.61333550933
15704	atk	LOC726248	pairfail	lca	0.89461179213	0.705978730754	0.844699145429
15850	EG:39E1.2	LOC412954	pairwise	lac	0.442153161618	0.385518684374	0.672418675122
16240	Dmel\\CG12123	LOC725638	pairfail	alc	0.575031256097	0.67877269045	0.856127829718
16241	slgA	LOC411808	pairfail	alc	0.434479524979	0.679647014174	0.840068751583
16625	FBpp0099887	LOC100579062	pairfail	lac	0.474407332858	0.172367229922	0.479124643644
16803	NA	LOC726060	pairfail	lca	0.806784283215	0.558872210804	0.781986983269
17086	CkIIbeta	LOC551655	pairwise	lac	0.567781139776	0.496962968196	0.737361843404
17286	NA	NT-7	pairfail	alc	0.170614269146	0.466636859187	0.711373598196
17385	NA	LOC724872	pairfail	lca	0.577843266207	0.217306879283	0.527501061338
17561	Dmel\\CG12104	LOC551624	pairfail	lac	0.66317489764	0.612770504058	0.822875158159
17603	NA	107963971	pairfail	lca	0.743556609677	0.425977495552	0.675380052373
17803	3HIDH_DROME	LOC551208	pairfail	alc	0.409205888402	0.472857506728	0.706092043356
18030	NA	LOC102655446	pairwise	alc	0.708851161101	0.71397377379	0.90918530675
18100	FBpp0078795	Cpap3-e	pairwise	alc	0.271436550798	0.775464609746	0.910575838356
18498	MESR3	NA	pairwise	lac	0.86431513442	0.665616835005	0.960674065258
19285	NA	NA	pairfail	alc	0.291351719355	0.35526264466	0.404323288363
