OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11165	px	LOC409658	pairfail	lac	0.457296155926	0.397584375878	0.602246698439
12476	Dhit	LOC726284	pairfail	lca	0.735376196498	0.333220267743	0.700910430414
12524	NA	LOC100576876	pairwise	lac	0.760499889407	0.514001854748	0.835592882368
12614	NA	LOC552512	pairwise	alc	0.281590173048	0.34885975486	0.847013020088
13147	NA	LOC409444	pairfail	alc	0.354912930126	0.459655509715	0.697953160839
13372	ppk9	LOC100578207	pairwise	alc	0.645308757143	0.759342429173	0.878993514048
13445	Sox102F	LOC100576849	pairwise	alc	0.780377502585	0.798101952685	0.978220023838
13921	CG32333	LOC725046	pairwise	lac	0.678899530538	0.452658819781	0.705750261476
14071	Zip88E	LOC412448	pairwise	alc	0.321857814073	0.540979010836	0.769193387185
14152	Q7JR58_DROME	Echs1	pairfail	lac	0.641097610021	0.497702365241	0.767752786852
14497	ush	LOC100577801	pairwise	alc	0.847072882485	0.877490016855	0.95843903085
14573	Upf1	Upf1	pairfail	lac	0.840148585775	0.80006430212	0.90505386989
15042	NA	LOC408504	pairfail	alc	0.565638704912	0.649101879923	0.825040955109
15587	Drp1	Drp1	pairfail	lac	0.514553206866	0.507152117665	0.718762549631
15631	NA	LOC726599	pairfail	lac	0.492758424645	0.346828511512	0.683209659783
15959	NA	NA	pairfail	lac	0.377900966079	0.301237716734	0.607418194907
16106	v	LOC410828	pairwise	alc	0.107892700699	0.108561686976	0.554056398484
16141	NA	LOC724425	pairfail	lac	0.442614648041	0.308192436995	0.662894992253
16729	CG15387-RA	LOC724769	pairfail	alc	0.679168516998	0.774332084664	0.917020795274
17550	Cht6	LOC409759	pairfail	alc	0.48704993495	0.622258340405	0.885122636997
17955	NA	NA	pairwise	alc	0.266039888038	0.31342174073	0.632290928155
18069	Q5BIA9_DROME	SPATA20	pairfail	lac	0.338918304322	0.211130751244	0.561668319959
18293	Dmel\\CG4686	LOC552441	pairfail	alc	0.431395921945	0.453887972496	0.641100888388
18974	CG13510-RA	LOC725688	pairfail	acl	0.640364683997	0.784052633006	0.724253634486
19245	NA	NA	pairfail	alc	0.269246929142	0.582593246922	0.666535064342
