OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11085	CG33958-RA	LOC100576683	pairwise	lac	0.565978997781	0.171257300404	0.590135953417
11608	A9UNF9_DROME	LOC725632	pairfail	lca	0.697895999021	0.369778848745	0.664141141922
11863	hb	NA	pairfail	lac	0.545057007238	0.377742539123	0.639413814714
12095	cd	LOC412774	pairfail	lac	0.742166153444	0.709460205881	0.8689096872
12636	Rab19	Rab-RP3	pairfail	alc	0.554487742563	0.563066205238	0.829593995867
12667	PNPase	LOC413542	pairwise	alc	0.394900310216	0.413461884994	0.671974869894
12694	Bmcp	LOC413711	pairwise	lca	0.734814217325	0.315112204423	0.712798324216
12720	dnk	dnk	pairwise	lac	0.306733959234	0.131850003144	0.515062010563
12737	fliI	LOC412468	pairfail	alc	0.254684636876	0.355090669148	0.584847269264
12755	pgant3	LOC725487	pairwise	lac	0.8124863877	0.743411858054	0.890507846508
12937	fz	fz	pairfail	lac	0.311344405633	0.26883628195	0.505093442762
13068	hppy	hppy	pairwise	lac	0.744270177538	0.470453159839	0.819971619734
13150	NA	LOC726915	pairwise	alc	0.597278677056	0.648907074937	0.802611709761
13356	Prosalpha2	Pros25	pairwise	lca	0.69655830916	0.320167499657	0.596899880951
13360	Dmel\\CG7675	LOC413168	pairwise	lac	0.552417921731	0.301355879135	0.59779849446
13431	CG4159-RB	LOC551700	pairfail	alc	0.327875444325	0.376774185261	0.581198106208
13669	Q9W1P1_DROME	LOC100577719	pairfail	lca	0.72385660295	0.385862133958	0.638814333501
13896	NA	Toll-10	pairfail	lac	0.930355234676	0.766318657401	0.989619640233
14084	NA	LOC409776	pairfail	lac	0.343459847846	0.198543844486	0.520089008323
14090	Atf3	ATF-3-like	pairwise	lac	0.515729933661	0.287237476564	0.696188740854
14581	B7YZM8_DROME	LOC726019	pairwise	lac	0.581842206532	0.550366872981	0.837642159502
14637	Pi3K92E	LOC551500	pairwise	lca	0.626335438439	0.300427156454	0.582925143702
14774	anon-EST:fe2H6	LOC100578014	pairwise	lac	0.365005149033	0.290188756318	0.558957804828
15056	DCA10_DROME	LOC412997	pairwise	lac	0.799990289345	0.797964833899	0.891731085745
15197	Dmel\\CG11537	LOC552258	pairwise	alc	0.542737459527	0.567414434365	0.839814264178
15200	Wnk	LOC725503	pairwise	alc	0.524938516379	0.586078316623	0.93316204331
15454	al	LOC552251	pairwise	alc	0.249877454642	0.300575133357	0.762871753362
15674	NA	LOC724644	pairfail	alc	0.257017889894	0.458970233963	0.694916348553
15903	Dmel\\CG5235	LOC726997	pairwise	alc	0.826928692708	0.889072786731	0.95755882395
15973	NA	LOC100578813	pairfail	alc	0.442137743102	0.585253738933	0.8712694137
16076	CrebA	LOC100576912	pairwise	lac	0.454846658287	0.349228753282	0.634310383897
16401	Pex16	LOC725764	pairwise	lac	0.538307238701	0.390735660585	0.746270141289
16725	Dmel\\CG9947	LOC411573	pairfail	lac	0.557558030348	0.434507303679	0.795929679376
16748	fmt	LOC551486	pairfail	lac	0.52857540075	0.251376580502	0.581976710241
16751	Ssl1	NA	pairfail	lca	0.747817739239	0.607392162822	0.646399462867
16775	BcDNA:AT30094	LOC552437	pairwise	lca	0.604021867509	0.174015455233	0.499778839112
16989	Dmel\\CG14305	LOC411093	pairfail	lca	0.976790211529	0.498981537471	0.769153305096
16993	Rab6	LOC409004	pairfail	lac	0.674871314145	0.576987743579	0.740283092885
17036	ND-13B	Ndufa5	pairfail	lac	0.594461716631	0.572876359942	0.820244500987
17408	sNPF-R	LOC727324	pairfail	alc	0.651661259593	0.690580735559	0.739367771934
17905	NA	LOC107965501	pairfail	lac	0.50599764254	0.48769229752	0.776444175686
17915	NA	LOC100577387	pairfail	alc	0.477688886585	0.508908980558	0.790659625207
18069	Q5BIA9_DROME	SPATA20	pairfail	lac	0.354724383109	0.234655658673	0.675307963183
18313	NA	NA	pairfail	alc	0.337993400919	0.485404305393	0.951178278467
18787	sm	LOC410674	pairwise	lac	0.38313530605	0.137965958792	0.528728821183
18870	P32	LOC413762	pairwise	alc	0.16293584553	0.466083220128	0.819319198517
