OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11402	NA	LOC552505	pairfail	alc	0.443695230776	0.645660849016	0.843419123753
11412	Prp8	LOC551620	pairwise	lca	0.616724616913	0.382638521956	0.573520757295
11881	NA	NA	pairfail	alc	0.381826766225	0.39310187846	0.614881721849
12610	PlexA	LOC410785	pairfail	alc	0.443591668939	0.505724295766	0.749965772958
12982	Dmel\\CG13893	LOC725676	pairwise	alc	0.387342945575	0.425549559123	0.728133010514
13397	FBpp0309425	LOC100578826	pairfail	lac	0.827113890167	0.743510203626	0.844130115591
13445	Sox102F	LOC100576849	pairwise	lac	0.573684960434	0.447239873007	0.774686810704
13549	NA	LOC724859	pairwise	lac	0.475874909098	0.254919664781	0.762025246171
13571	kek5	LOC411158	pairwise	lac	0.437670020794	0.357885309747	0.751695320168
13739	Fip1	LOC410219	pairfail	alc	0.792104846121	0.856134781412	0.921383585831
13922	NA	NA	pairfail	lac	0.496206087966	0.39580646286	0.831262487101
14145	NA	LOC102654897	pairwise	lca	0.904190639552	0.366811208978	0.849991155279
14151	NA	LOC727647	pairwise	alc	0.381399743968	0.64063505752	0.880873505525
14166	NA	NA	pairfail	lac	0.350623275935	0.237001344967	0.61962975922
14220	Rrp42	LOC411836	pairfail	alc	0.629370399651	0.688837324611	0.864381851292
14448	NA	LOC102655436	pairfail	lca	0.957653891676	0.793445861149	0.911646265247
14538	Dmel\\CG5149	LOC100576519	pairfail	lac	0.551633304192	0.522214463239	0.690856702885
14599	ldlCp	LOC552714	pairfail	alc	0.23246424837	0.298604844451	0.498255859121
14747	NA	LOC409184	pairwise	alc	0.421552272366	0.600461795469	0.842770224537
15247	IntS2	LOC551355	pairwise	alc	0.213387749042	0.429624382204	0.699628391333
15622	CSN7	LOC411843	pairwise	lca	0.836031758428	0.608917582218	0.822290041946
15633	baz	LOC726759	pairwise	alc	0.859456154518	0.874459497117	0.9349138939
15635	anon-WO0140519.245	LOC408433	pairwise	alc	0.859068187627	0.874443908212	0.934699923329
15829	yrt	LOC551579	pairfail	alc	0.31616567037	0.35815371043	0.729941995258
15946	NA	LOC726474	pairfail	lca	0.853429295108	0.647826830111	0.799345770947
15950	Dmel\\CG13634	LOC100578703	pairfail	lca	0.731129876011	0.566884084962	0.70986640859
16064	EndoA	LOC408623	pairwise	lac	0.343013666573	0.218568660356	0.791378682213
16084	Obp83b	Obp1	pairwise	lac	0.367553822087	0.305904342594	0.594599201827
16134	Cep97	LOC726438	pairwise	lac	0.932031751335	0.923362721229	0.986393184804
16191	A0A1B2AKQ4_DROME	LOC725718	pairfail	lac	0.477434380703	0.361060736076	0.848954448155
16591	BEST:CK01670	LOC408970	pairfail	alc	0.488072631327	0.715721810288	0.909769935046
16733	NA	LOC409717	pairwise	lca	0.829606931476	0.499078782492	0.785619515994
16812	Rbcn-3B	LOC727434	pairwise	alc	0.509776923976	0.623817449562	0.780907699216
16823	BcDNA:GH03108	LOC100578360	pairwise	alc	0.608769332304	0.624756498476	0.781220615785
17003	NA	nAChRa9;nAChRalpha9	pairfail	lac	0.508689296226	0.279073837247	0.554843188906
17248	NA	LOC727260	pairwise	alc	0.237237819826	0.402959155143	0.516786434124
17323	Csp	LOC724965	pairfail	lac	0.764469773415	0.505980971065	0.768500405512
18472	NA	LOC100576140	pairfail	alc	0.330887115952	0.508864843339	0.822560981079
18576	NA	LOC100576736	pairwise	alc	0.164195298373	0.207210505009	0.632602225828
18619	NA	LOC100578247	pairfail	alc	0.455077093436	0.601256359839	0.875591508398
18768	NA	NA	pairwise	alc	0.517153357383	0.731191170085	0.891232815379
