OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10972	Dmel\\CG12071	LOC725254	pairfail	lac	0.464127765037	0.317961456543	0.761025131349
11132	Dmel\\CG8034	NA	pairfail	alc	0.57510963586	0.587451088341	0.716183459014
11759	NA	LOC408766	pairfail	alc	0.311688426087	0.49945181917	0.754870933027
11784	NA	LOC411185	pairfail	alc	0.0680674102557	0.324089222896	0.584281103619
11826	NA	LOC413833	pairfail	alc	0.29744007934	0.419796633469	0.698418393916
11988	ed	LOC413423	pairfail	alc	0.0782478002554	0.392206682041	0.594144092041
12003	NA	LOC100578562	pairfail	alc	0.238276866165	0.254186273924	0.48120777705
12140	Atu	Atu	pairfail	lac	0.748823289716	0.66803331748	0.770240339696
12485	Ssrp	Ssrp	pairwise	lac	0.735711043128	0.62297372984	0.830534575445
12619	Cht11	Cht11	pairwise	lac	0.93347257244	0.903330950147	0.941760296724
12621	Coq5	LOC413255	pairfail	lca	0.973478937295	0.896197706551	0.938654200601
12624	side-III	LOC413370	pairfail	alc	0.427066376278	0.46613697294	0.715253608605
12689	Dmel\\CG43778	LOC100577335	pairwise	alc	0.320631809393	0.397420474413	0.684854684813
12746	Atg1	Atg1	pairfail	lac	0.682258221748	0.502398939114	0.726403827247
13038	Lerp	LOC551012	pairfail	lac	0.618009209778	0.556777185238	0.73387394444
13159	Q9W232_DROME	LOC411649	pairfail	lac	0.811264488196	0.631379540209	0.869508470405
13170	Dmel\\CG6752	LOC410136	pairfail	lac	0.260375899978	0.252990514282	0.469638161772
13194	KrT95D	LOC725093	pairfail	lca	0.633201203642	0.292066300433	0.595362894064
13499	Cda4	Cda4	pairfail	lac	0.702743671417	0.477557344546	0.827962970182
13609	NA	NA	pairwise	alc	0.649329645219	0.687116297843	0.838632501139
13784	CSN6	LOC410195	pairfail	alc	0.514685216575	0.755572639228	0.842490096517
13821	SD09067p	LOC100577602	pairwise	lac	0.812700851829	0.651305704141	0.865025499464
13861	ATPsyndelta	Atp5d	pairfail	lac	0.763827463871	0.698801768169	0.823081023374
13900	l(2)k01209	LOC408305	pairwise	lac	0.681219080853	0.609181874899	0.80936331634
13910	Rab10	Rab10	pairfail	alc	0.539029801618	0.556586584406	0.729706707134
14068	NA	LOC413362	pairfail	lac	0.725839069761	0.655584109738	0.847450834188
14189	NA	LOC102654555	pairwise	lac	0.371830101382	0.370817805567	0.496888547912
14233	UQCR-14	LOC551757	pairwise	lac	0.67346945562	0.649163046048	0.834111351379
14234	NaPi-III	LOC551814	pairfail	lac	0.703140690893	0.617633512981	0.834101061154
14251	ALiX	ALiX	pairwise	lac	0.500745556181	0.429246818926	0.629603798938
14254	scrib	LOC413669	pairfail	alc	0.432983665946	0.503492313056	0.768462512446
14478	spg	LOC725928	pairfail	alc	0.284956910185	0.31089760927	0.570837929435
14629	Dmel\\CG43313	LOC100579040	pairfail	lac	0.524124039778	0.460255340401	0.678371809994
14807	comt	LOC725680	pairwise	lac	0.805036907337	0.746715882802	0.857415718215
14898	Dmel\\CG10217	LOC412513	pairfail	lac	0.50993093244	0.404978438065	0.678211686641
15202	NA	LOC726543	pairfail	lca	0.673905904711	0.354247387216	0.561657057642
15269	mnb	LOC409111	pairfail	lac	0.547776911906	0.534516304609	0.832903230643
15331	sau	LOC412824	pairfail	lac	0.698469219215	0.485554012055	0.72956275573
15790	Cals	LOC413977	pairwise	lca	0.87350269228	0.698632480883	0.83141638184
16181	Tfb1	LOC550895	pairwise	lca	0.794563412192	0.634176248659	0.793380532892
16309	IFT52	LOC551202	pairfail	lca	0.951598300036	0.737401752757	0.78258046023
16315	CG2827-RA	LOC413867	pairfail	lca	0.955011380725	0.886385215233	0.938884336376
16721	Dmel\\CG16700	LOC726786	pairfail	lca	0.797965897936	0.733913918965	0.792187840744
16856	Sec3	sec3	pairfail	lac	0.932695545082	0.792123856377	0.951311400403
16894	Ak6	Ak6	pairfail	alc	0.627361614728	0.759628034482	0.855042796115
17132	NA	LOC552515	pairfail	lca	0.809865275342	0.651784438957	0.722344997145
17155	NA	LOC100578713	pairfail	lca	0.763054348179	0.661735868891	0.712881708173
17175	NA	LOC725701	pairfail	lac	0.499189169109	0.31455083811	0.604179941332
17179	NA	LOC409569	pairfail	lac	0.754970795401	0.588681107847	0.858652546192
17356	NA	LOC551411;LOC551443	pairwise	alc	0.492246137222	0.548147368637	0.851654718904
17553	NA	LOC410349	pairwise	alc	0.321794969849	0.445752517295	0.702975646554
17830	FK506-bp1	FK506-bp1	pairfail	alc	0.441628358064	0.535138003425	0.745341340819
18031	Noa36	Noa36	pairfail	lca	0.951999569105	0.882863355223	0.945116612433
18038	CG5928-RA	LOC100576254	pairfail	alc	0.362484917975	0.41071785689	0.719864151579
18149	Rad23	LOC409340	pairwise	lac	0.826409999178	0.82105562404	0.938653275445
18322	NA	LOC102653952	pairfail	alc	0.660700366606	0.78936355873	0.945222927148
18543	NA	NA	pairwise	lac	0.224539912589	0.186715286875	0.432377903031
18547	polo	polo	pairwise	lac	0.722686856428	0.40987555272	0.793181677279
18977	NNRE_DROME	LOC727471	pairfail	cal	0.803243459161	0.80567818843	0.447121646402
19024	CG10251	LOC726278	pairfail	alc	0.237517877345	0.27720609837	0.478307473167
19110	Dmel\\CG13025	Rfwd3	pairwise	lac	0.716259082733	0.40386783216	0.726496738419
