OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11218	NA	nAChRa6	pairwise	lac	0.376508433211	0.28476843245	0.491400045614
11337	htt	LOC726358	pairwise	lac	0.59598013779	0.517686229905	0.85635276202
11499	NA	LOC551792	pairwise	lac	0.446694765522	0.383672875958	0.761800648666
11535	A4IJ50_DROME	LOC410515	pairfail	alc	0.597490193602	0.695747591429	0.735984065792
11536	NA	NA	pairfail	lca	0.598057082159	0.248859703597	0.524395972084
11687	SCAR	LOC410922	pairfail	alc	0.348300125926	0.643619788239	0.745978779972
12077	BcDNA	SCR-B5	pairwise	lca	0.671627371304	0.263793388132	0.650953697699
12172	ZnT63C	LOC552634	pairfail	lac	0.333145146142	0.274003042268	0.43787081149
12252	e(r)	e(r)	pairwise	lca	0.700704094724	0.52936015377	0.668263729094
12406	dan	LOC100578718	pairwise	lac	0.372119436464	0.219113923742	0.532226335767
12432	htk	LOC409456	pairfail	alc	0.403687802018	0.624602968533	0.840341416171
12449	INPP5E	LOC409136	pairwise	lca	0.624801101749	0.208280811498	0.510016956087
12498	CycK	CycK	pairwise	lac	0.444569802563	0.397566109078	0.621463377296
12517	PHGPx	Gtpx2	pairfail	lac	0.66513297015	0.564943441949	0.852269119914
12631	NA	LOC552383	pairfail	alc	0.389353019489	0.470831736015	0.762984163105
12880	bif	LOC408761	pairwise	alc	0.824357093162	0.868227206727	0.921521900644
12883	Dmel\\CG43861	NA	pairwise	lac	0.631858049482	0.279827209288	0.766204712377
12909	Dmel\\CG10362	LOC551430	pairwise	lac	0.59763207319	0.50431456679	0.744470498571
12982	Dmel\\CG13893	LOC725676	pairfail	lac	0.701594571745	0.370815700536	0.820090679959
13056	tinc	tinc	pairwise	alc	0.225262537194	0.394446658714	0.695558215366
13069	NA	LOC100576381	pairwise	lac	0.53449033571	0.447942370134	0.767920163224
13202	Dmel\\CG14304	LOC102655639	pairwise	lca	0.813636117468	0.482876582503	0.773963607613
13235	pbl	LOC413063	pairwise	lac	0.250552283463	0.194179685578	0.719813199198
13249	FBpp0112027	LOC411048	pairwise	lac	0.558246786882	0.47963900759	0.856055850597
13395	FBpp0073493	LIMK1	pairfail	lca	0.857189112493	0.610780001321	0.840486318344
13405	Rae1	LOC409169	pairfail	lca	0.860940380597	0.645718086534	0.810425500749
13408	Dmel\\CG6734	LOC100576958	pairfail	lac	0.542928413343	0.404052899605	0.65409371169
13584	Dyrk2	LOC412917	pairfail	lca	0.732553396435	0.414465423928	0.606960339436
13790	wash	LOC724795	pairwise	lca	0.68534329258	0.253524750761	0.645005585171
13826	NA	LOC726241	pairwise	lac	0.430956170668	0.371719160958	0.614612816782
