OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10881	mdy	LOC552377	pairfail	lac	0.358131807664	0.204578637348	0.512705401676
11049	Q8MLP3_DROME	LOC727146	pairfail	lac	0.545038408993	0.517974039805	0.859558103667
11152	anon-WO0172774.138	LOC410116	pairfail	lac	0.638583350504	0.322982970793	0.75454541573
11253	anon-WO0170980.40	LOC552761	pairwise	lac	0.329389925273	0.135757805204	0.609114454441
11886	PP2A-B''	LOC412914	pairfail	lca	0.500316509571	0.229144530268	0.371917072556
12095	cd	LOC412774	pairwise	lac	0.551720515552	0.413539728592	0.688597653385
12325	BEST:GH05015	LOC412748	pairfail	lac	0.431895127877	0.22256441257	0.535949058425
12390	Stam	Stam	pairfail	alc	0.176653498772	0.317976707019	0.494558941639
12392	A1Z934_DROME	LOC409494	pairfail	lac	0.61097419966	0.432907995136	0.713552827244
12531	FBpp0075077	LOC552414	pairfail	lac	0.415753595289	0.183694469946	0.472892293832
12548	CT25972	LOC551422	pairfail	alc	0.339176611166	0.734217130609	0.880837307542
12760	sdk	IGFn3-8	pairfail	lac	0.569341657499	0.514407695652	0.737898063767
12769	FBpp0290962	LOC412002	pairfail	alc	0.19961959327	0.420715428175	0.731234154473
12792	CG9422-RC	LOC100578399	pairfail	lac	0.546639707281	0.272654811583	0.571261331078
12866	gry	gry	pairfail	alc	0.711394180282	0.746752249265	0.851104156219
13053	EG:63B12.11	LOC100577341	pairwise	lac	0.505045163892	0.478561861925	0.71869695508
13166	NA	NA	pairfail	alc	0.505033108699	0.553362752738	0.764265800588
13253	InR	LOC411297	pairwise	alc	0.344449555599	0.382227984249	0.793030364813
13260	CG9095	LOC411888	pairfail	lac	0.63895336824	0.373221974632	0.772145396926
13290	NA	Acph-1;LOC726703	pairwise	alc	0.317946681526	0.457239945895	0.765374198871
13733	ken	ken	pairwise	lac	0.363647680014	0.348977043975	0.725709173611
13765	CG9112	LOC410216	pairwise	lac	0.419839728487	0.38624593856	0.716714518502
13854	SRm160	LOC725155	pairwise	lca	0.965156436458	0.741791842671	0.923099468809
13883	NA	LOC100578341	pairfail	lac	0.281087323571	0.230686206705	0.523092177337
13950	Gapdh2	Gapdh	pairwise	lac	0.365683164259	0.254951466124	0.533294129718
13999	NA	LOC100577454	pairwise	lac	0.746512592774	0.717726619296	0.900311114862
14148	und	Metap2	pairwise	lca	0.66571922936	0.300562631686	0.654945962198
14192	ago	ago	pairwise	alc	0.707454271549	0.829620398997	0.899455941381
14194	hfw	LOC412164	pairwise	lac	0.593408680748	0.389155392437	0.740533054153
14204	Vps4	LOC409756	pairwise	alc	0.70735506083	0.829511836712	0.898709991034
14206	NA	LOC551790	pairwise	lac	0.593055811901	0.338045993593	0.713185858311
14491	qua	qua	pairfail	alc	0.447190327526	0.632052146147	0.850830244715
14585	anon-WO0118547.111	LOC410272	pairwise	alc	0.201123351106	0.397279301064	0.703911536728
14612	Dmel\\CG11241	LOC100576186	pairfail	lac	0.617939986029	0.473157362089	0.689881029573
14709	NA	LOC408316	pairwise	lac	0.306903353441	0.2338706908	0.59764762692
14732	TpnC73F	TpnCI	pairwise	lac	0.253403787759	0.150083606851	0.543248478702
15401	Gem3	LOC411217	pairwise	alc	0.280745202728	0.394520151368	0.610940122289
15422	ths	NA	pairfail	lca	0.548736806069	0.18243540511	0.450544585086
15488	NA	LOC410686	pairwise	alc	0.042589288133	0.382886496551	0.725236055396
15665	tun	LOC725501	pairwise	alc	0.387138382449	0.442998568391	0.808475558627
15666	dUTPase	NA	pairwise	alc	0.314738944652	0.484783762987	0.809107898911
15748	CrzR	Crzr	pairfail	lac	0.504631424821	0.481975826465	0.736822554586
15759	Vps11	LOC410493	pairwise	lac	0.695597520093	0.394860190454	0.725980852742
15768	NA	LOC411373	pairfail	lac	0.31925392687	0.286540000006	0.592354017185
15791	sl	LOC551709	pairfail	alc	0.534374868358	0.672434534529	0.848983784697
15801	AstA-R1	LOC413582	pairwise	lac	0.241919329998	0.149378859026	0.705292979198
15912	ced-6	ced-6	pairwise	lac	0.281132967656	0.194526772549	0.482300594027
16222	Nnp-1	Nnp-1	pairwise	alc	0.216038348016	0.392108677162	0.808999543287
16267	alphaCOP	alphaCop	pairfail	alc	0.552699204303	0.705990947666	0.847448426108
16478	BcDNA:AT31258	LOC551678	pairfail	lac	0.793303486887	0.692597750463	0.906219420057
16485	dib	LOC727118	pairfail	alc	0.333993960329	0.367821773134	0.73422961513
16539	rdgBbeta	rdgBbeta	pairwise	lac	0.785201668119	0.579758906438	0.861878715273
16608	l(1)G0007	LOC726778	pairfail	lac	0.580081519919	0.436114859767	0.612671468442
16794	6PGL_DROME	LOC551785	pairfail	alc	0.598976736665	0.655455164384	0.842520621675
16839	NA	LOC409229	pairfail	alc	0.290489852522	0.526911720742	0.77888748675
17027	Ogg1	107964412	pairfail	lac	0.660409405857	0.605752133937	0.827253312621
17298	Rab3	Rab3	pairfail	lac	0.352924481282	0.297593863231	0.681633433188
17388	CG14984	NA	pairwise	alc	0.750226386574	0.805392736112	0.921897204961
17405	NA	dock	pairfail	lac	0.727887967269	0.718165950031	0.829307111854
17553	NA	LOC410349	pairfail	lca	0.783534738271	0.587142984673	0.775463904011
17577	Dmel\\CG8032	LOC726801	pairfail	alc	0.599508113618	0.718089758596	0.893074042704
